"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"          Rice                                              ","MEAN",0.5,0.38,0.32,0.35,0.45,0.42,0.43,0.55,0.42,0.62
"          Rice                                              ","SE",0.02,0.07,0.07,0.05,0.11,0.07,0.09,0.09,0.03,0.04
"          Pasta, cornmeal and other cereal products         ","MEAN",0.7,0.45,0.47,0.48,0.43,0.48,0.51,0.61,0.66,1.02
"          Pasta, cornmeal and other cereal products         ","SE",0.02,0.08,0.1,0.08,0.05,0.05,0.04,0.08,0.05,0.05
"        Bakery products                                     ","MEAN",6.6,3.67,3.57,4.25,4.69,4.87,5.59,6.18,6.52,8.96
"        Bakery products                                     ","SE",0.13,0.37,0.33,0.3,0.28,0.18,0.27,0.38,0.21,0.26
"          Bread                                             ","MEAN",1.98,1.17,1.09,1.37,1.28,1.57,1.78,1.84,1.96,2.63
"          Bread                                             ","SE",0.05,0.11,0.11,0.11,0.09,0.08,0.12,0.12,0.08,0.12
"            White bread                                     ","MEAN",0.81,0.58,0.47,0.66,0.54,0.66,0.76,0.75,0.82,1.04
"            White bread                                     ","SE",0.02,0.06,0.07,0.06,0.05,0.04,0.06,0.05,0.04,0.05
"            Bread, other than white                         ","MEAN",1.17,0.59,0.62,0.72,0.74,0.91,1.02,1.09,1.14,1.6
"            Bread, other than white                         ","SE",0.03,0.07,0.06,0.07,0.06,0.05,0.07,0.08,0.05,0.08
"          Cookies and crackers                              ","MEAN",1.62,0.9,0.85,1.05,1.25,1.09,1.39,1.42,1.61,2.22
"          Cookies and crackers                              ","SE",0.05,0.12,0.12,0.13,0.13,0.07,0.1,0.12,0.1,0.09
"            Cookies                                         ","MEAN",0.9,0.5,0.5,0.57,0.68,0.59,0.81,0.83,0.91,1.23
"            Cookies                                         ","SE",0.03,0.1,0.1,0.09,0.09,0.05,0.06,0.09,0.08,0.07
"            Crackers                                        ","MEAN",0.71,0.4,0.36,0.48,0.56,0.51,0.58,0.59,0.69,0.99
"            Crackers                                        ","SE",0.02,0.07,0.06,0.06,0.08,0.05,0.05,0.05,0.05,0.04
"          Frozen and refrigerated bakery products           ","MEAN",0.52,0.26,0.25,0.34,0.38,0.38,0.42,0.5,0.5,0.72
"          Frozen and refrigerated bakery products           ","SE",0.02,0.06,0.08,0.05,0.06,0.04,0.06,0.06,0.05,0.04
"          Other bakery products                             ","MEAN",2.48,1.33,1.37,1.48,1.78,1.82,2.01,2.43,2.46,3.39
"          Other bakery products                             ","SE",0.06,0.18,0.19,0.13,0.13,0.1,0.11,0.18,0.12,0.14
"            Biscuits and rolls                              ","MEAN",0.98,0.47,0.53,0.51,0.66,0.74,0.78,0.92,1,1.37
"            Biscuits and rolls                              ","SE",0.03,0.07,0.07,0.06,0.08,0.05,0.05,0.08,0.06,0.05
"            Cakes and cupcakes                              ","MEAN",0.61,0.39,0.33,0.39,0.41,0.38,0.46,0.58,0.57,0.89
"            Cakes and cupcakes                              ","SE",0.03,0.09,0.09,0.07,0.08,0.05,0.05,0.08,0.07,0.07
"            Bread and cracker products                      ","MEAN",0.13,0.09,0.12,0.07,0.09,0.09,0.07,0.14,0.13,0.18
"            Bread and cracker products                      ","SE",0.01,0.04,0.05,0.03,0.02,0.02,0.01,0.02,0.02,0.02
"            Sweetrolls, coffee cakes, doughnuts             ","MEAN",0.47,0.17,0.21,0.34,0.4,0.38,0.46,0.49,0.5,0.57
"            Sweetrolls, coffee cakes, doughnuts             ","SE",0.02,0.04,0.05,0.06,0.06,0.05,0.06,0.07,0.05,0.04
"            Pies, tarts, turnovers                          ","MEAN",0.29,0.2,0.17,0.17,0.21,0.23,0.24,0.3,0.26,0.38
"            Pies, tarts, turnovers                          ","SE",0.02,0.05,0.07,0.05,0.03,0.04,0.04,0.04,0.03,0.03
"      Meats, poultry, fish, and eggs                        ","MEAN",17.15,11.1,10.31,11.19,10.96,13.66,14.51,16.02,17.27,22.8
"      Meats, poultry, fish, and eggs                        ","SE",0.26,0.99,1,0.89,0.54,1.37,0.79,0.86,0.67,0.47
"        Beef                                                ","MEAN",4.46,2.34,2.65,2.55,2.63,3.97,3.6,4.3,4.59,5.92
"        Beef                                                ","SE",0.15,0.32,0.4,0.33,0.2,1.12,0.29,0.33,0.29,0.22
"          Ground beef                                       ","MEAN",1.9,1.31,1.34,1.35,1.29,1.76,1.84,1.89,1.96,2.25
"          Ground beef                                       ","SE",0.06,0.22,0.22,0.16,0.14,0.26,0.17,0.15,0.15,0.1
"          Roast                                             ","MEAN",0.59,0.22,0.29,0.32,0.34,0.32,0.38,0.71,0.66,0.85
"          Roast                                             ","SE",0.03,0.07,0.11,0.1,0.07,0.06,0.07,0.11,0.08,0.08
"            Chuck roast                                     ","MEAN",0.2,0.03,0.11,0.14,0.08,0.11,0.08,0.26,0.23,0.29
"            Chuck roast                                     ","SE",0.02,0.02,0.06,0.05,0.03,0.03,0.03,0.06,0.05,0.05
"            Round roast                                     ","MEAN",0.1,0.06,0.08,0.06,0.08,0.06,0.12,0.08,0.09,0.12
"            Round roast                                     ","SE",0.01,0.04,0.08,0.03,0.04,0.03,0.05,0.03,0.03,0.02
"            Other roast                                     ","MEAN",0.3,0.13,0.1,0.11,0.18,0.15,0.19,0.38,0.34,0.44
"            Other roast                                     ","SE",0.02,0.05,0.05,0.03,0.06,0.05,0.04,0.09,0.05,0.06
"          Steak                                             ","MEAN",1.55,0.69,0.8,0.7,0.83,1.36,1.1,1.35,1.63,2.22
"          Steak                                             ","SE",0.09,0.14,0.16,0.18,0.12,0.58,0.16,0.17,0.15,0.13
"            Round steak                                     ","MEAN",0.37,0.13,0.15,0.18,0.13,0.43,0.27,0.31,0.41,0.5
"            Round steak                                     ","SE",0.04,0.04,0.07,0.05,0.03,0.27,0.07,0.06,0.06,0.06
"            Sirloin steak                                   ","MEAN",0.47,0.24,0.2,0.19,0.25,0.33,0.21,0.5,0.53,0.7
"            Sirloin steak                                   ","SE",0.02,0.06,0.06,0.05,0.07,0.06,0.05,0.08,0.06,0.05
"            Other steak                                     ","MEAN",0.71,0.32,0.44,0.32,0.45,0.59,0.62,0.54,0.69,1.01
"            Other steak                                     ","SE",0.05,0.1,0.12,0.1,0.08,0.29,0.09,0.08,0.07,0.07
"          Other beef                                        ","MEAN",0.41,0.13,0.23,0.18,0.16,0.53,0.28,0.34,0.34,0.6
"          Other beef                                        ","SE",0.05,0.06,0.09,0.05,0.04,0.31,0.06,0.07,0.05,0.08
"        Pork                                                ","MEAN",3.4,2.17,2.1,2.37,2.24,2.59,3.18,2.99,3.52,4.43
"        Pork                                                ","SE",0.08,0.35,0.36,0.29,0.18,0.2,0.21,0.23,0.24,0.14
"          Bacon                                             ","MEAN",0.81,0.33,0.62,0.53,0.56,0.62,0.7,0.69,0.85,1.08
"          Bacon                                             ","SE",0.03,0.07,0.14,0.1,0.08,0.06,0.08,0.08,0.07,0.05
"          Pork chops                                        ","MEAN",0.54,0.44,0.31,0.35,0.4,0.42,0.55,0.46,0.53,0.7
"          Pork chops                                        ","SE",0.03,0.11,0.08,0.08,0.07,0.06,0.07,0.07,0.08,0.05
"          Ham                                               ","MEAN",0.63,0.35,0.45,0.47,0.41,0.45,0.67,0.54,0.68,0.8
"          Ham                                               ","SE",0.02,0.07,0.13,0.09,0.07,0.07,0.07,0.07,0.08,0.05
"            Ham, not canned                                 ","MEAN",0.61,0.35,0.45,0.47,0.38,0.45,0.66,0.5,0.63,0.77
"            Ham, not canned                                 ","SE",0.02,0.07,0.13,0.09,0.07,0.07,0.07,0.07,0.07,0.05
"            Canned ham                                      ","MEAN",0.02,0,0,0.01,0.03,0,0,0.04,0.05,0.03
"            Canned ham                                      ","SE",0.01,0,0,0,0.02,0,0,0.02,0.04,0.01
"          Sausage                                           ","MEAN",0.66,0.44,0.34,0.53,0.4,0.46,0.61,0.61,0.73,0.86
"          Sausage                                           ","SE",0.02,0.11,0.1,0.1,0.06,0.06,0.07,0.07,0.07,0.05
"          Other pork                                        ","MEAN",0.75,0.62,0.37,0.48,0.47,0.63,0.65,0.69,0.74,0.99
"          Other pork                                        ","SE",0.03,0.2,0.09,0.1,0.08,0.08,0.08,0.09,0.09,0.07
"        Other meats                                         ","MEAN",2.37,1.57,1.22,1.45,1.62,1.71,1.86,2.13,2.49,3.23
"        Other meats                                         ","SE",0.07,0.23,0.16,0.15,0.17,0.13,0.17,0.17,0.15,0.13
"          Frankfurters                                      ","MEAN",0.49,0.35,0.31,0.37,0.43,0.37,0.45,0.5,0.56,0.57
"          Frankfurters                                      ","SE",0.02,0.07,0.07,0.05,0.07,0.05,0.06,0.05,0.06,0.03
"          Lunch meats (cold cuts)                           ","MEAN",1.71,1.1,0.85,1,1.11,1.23,1.29,1.53,1.82,2.38
"          Lunch meats (cold cuts)                           ","SE",0.05,0.19,0.13,0.11,0.11,0.1,0.13,0.13,0.12,0.1
"            Bologna, liverwurst, salami                     ","MEAN",0.52,0.4,0.31,0.37,0.35,0.39,0.42,0.44,0.58,0.68
"            Bologna, liverwurst, salami                     ","SE",0.02,0.08,0.07,0.05,0.04,0.04,0.05,0.05,0.05,0.04
"            Other lunchmeats                                ","MEAN",1.19,0.7,0.55,0.63,0.76,0.83,0.87,1.09,1.24,1.71
"            Other lunchmeats                                ","SE",0.04,0.13,0.08,0.09,0.09,0.08,0.1,0.11,0.1,0.08
"          Lamb, organ meats and others                      ","MEAN",0.16,0.12,0.06,0.08,0.09,0.12,0.12,0.1,0.11,0.27
"          Lamb, organ meats and others                      ","SE",0.02,0.06,0.04,0.03,0.03,0.04,0.04,0.05,0.03,0.05
"            Lamb and organ meats                            ","MEAN",0.11,0.04,0.03,0.08,0.07,0.07,0.11,0.09,0.1,0.16
"            Lamb and organ meats                            ","SE",0.01,0.02,0.02,0.03,0.02,0.02,0.03,0.04,0.03,0.03
"            Mutton, goat and game                           ","MEAN",0.05,0.08,0.03,0,0.02,0.04,0.01,0.02,0.01,0.11
"            Mutton, goat and game                           ","SE",0.02,0.05,0.03,0,0.02,0.04,0,0.01,0.01,0.05
"        Poultry                                             ","MEAN",3.32,2.39,2.16,2.58,2.15,2.79,2.94,3.27,3.07,4.28
"        Poultry                                             ","SE",0.07,0.25,0.35,0.28,0.16,0.23,0.25,0.27,0.17,0.14
"          Fresh and frozen chickens                         ","MEAN",2.69,2.07,1.88,2.16,1.87,2.4,2.55,2.78,2.4,3.33
"          Fresh and frozen chickens                         ","SE",0.07,0.23,0.34,0.21,0.15,0.21,0.24,0.23,0.15,0.12
"            Fresh and frozen whole chicken                  ","MEAN",0.85,0.65,0.58,0.54,0.49,0.78,0.88,0.82,0.78,1.06
"            Fresh and frozen whole chicken                  ","SE",0.03,0.11,0.15,0.07,0.06,0.09,0.11,0.1,0.07,0.06
"            Fresh and frozen chicken parts                  ","MEAN",1.85,1.42,1.3,1.62,1.39,1.62,1.67,1.96,1.62,2.27
"            Fresh and frozen chicken parts                  ","SE",0.05,0.19,0.22,0.18,0.14,0.14,0.16,0.17,0.1,0.09
"          Other poultry                                     ","MEAN",0.62,0.32,0.28,0.43,0.27,0.39,0.38,0.49,0.67,0.95
"          Other poultry                                     ","SE",0.03,0.08,0.09,0.12,0.06,0.07,0.05,0.08,0.07,0.06
"        Fish and seafood                                    ","MEAN",2.49,1.81,1.53,1.39,1.48,1.65,1.92,2.24,2.43,3.56
"        Fish and seafood                                    ","SE",0.08,0.32,0.25,0.22,0.17,0.15,0.18,0.2,0.2,0.16
"          Canned fish and seafood                           ","MEAN",0.36,0.28,0.24,0.25,0.28,0.28,0.31,0.43,0.35,0.45
"          Canned fish and seafood                           ","SE",0.02,0.07,0.06,0.05,0.05,0.03,0.05,0.06,0.04,0.03
"          Fresh fish and shellfish                          ","MEAN",1.29,1.07,0.73,0.54,0.65,0.73,0.94,1.14,1.17,1.99
"          Fresh fish and shellfish                          ","SE",0.06,0.25,0.16,0.13,0.1,0.11,0.15,0.17,0.12,0.12
"          Frozen fish and shellfish                         ","MEAN",0.83,0.46,0.56,0.59,0.55,0.64,0.67,0.67,0.91,1.12
"          Frozen fish and shellfish                         ","SE",0.04,0.14,0.22,0.13,0.11,0.08,0.09,0.11,0.13,0.08
"        Eggs                                                ","MEAN",1.12,0.82,0.65,0.85,0.83,0.94,1.01,1.1,1.16,1.38
"        Eggs                                                ","SE",0.03,0.09,0.08,0.08,0.06,0.05,0.07,0.09,0.05,0.05
"      Dairy products                                        ","MEAN",8.14,4.72,4.59,5.05,5.73,6.01,6.48,7.99,8.43,10.93
"      Dairy products                                        ","SE",0.12,0.42,0.38,0.29,0.24,0.25,0.28,0.36,0.35,0.24
"        Fresh milk and cream                                ","MEAN",2.83,1.73,1.73,2.08,2.28,2.32,2.42,2.79,2.98,3.52
"        Fresh milk and cream                                ","SE",0.04,0.16,0.16,0.12,0.15,0.11,0.1,0.15,0.12,0.1
"          Fresh milk, all types                             ","MEAN",2.42,1.51,1.59,1.85,2.01,2.06,2.12,2.32,2.5,2.96
"          Fresh milk, all types                             ","SE",0.04,0.14,0.17,0.1,0.15,0.09,0.09,0.13,0.12,0.09
"          Cream                                             ","MEAN",0.41,0.21,0.15,0.23,0.27,0.26,0.29,0.47,0.48,0.56
"          Cream                                             ","SE",0.02,0.06,0.04,0.04,0.03,0.03,0.03,0.05,0.03,0.02
"        Other dairy products                                ","MEAN",5.31,3,2.86,2.97,3.45,3.69,4.06,5.2,5.45,7.41
"        Other dairy products                                ","SE",0.11,0.36,0.29,0.24,0.22,0.2,0.22,0.29,0.26,0.18
"          Butter                                            ","MEAN",0.52,0.29,0.22,0.37,0.32,0.41,0.48,0.54,0.48,0.69
"          Butter                                            ","SE",0.02,0.06,0.05,0.07,0.05,0.05,0.06,0.06,0.04,0.04
"          Cheese                                            ","MEAN",2.61,1.36,1.14,1.42,1.58,1.73,1.99,2.6,2.66,3.74
"          Cheese                                            ","SE",0.05,0.18,0.16,0.16,0.11,0.09,0.14,0.19,0.12,0.11
"          Ice cream and related products                    ","MEAN",1.07,0.74,0.8,0.64,0.94,0.85,0.81,1.06,1.13,1.36
"          Ice cream and related products                    ","SE",0.03,0.12,0.13,0.08,0.12,0.09,0.07,0.09,0.1,0.05
"          Miscellaneous dairy products                      ","MEAN",1.11,0.6,0.7,0.53,0.61,0.71,0.78,1.01,1.19,1.62
"          Miscellaneous dairy products                      ","SE",0.04,0.14,0.13,0.06,0.09,0.06,0.07,0.09,0.15,0.06
"      Fruits and vegetables                                 ","MEAN",14.54,8.81,7.81,8.25,9.24,10.71,12.06,13.57,14.11,20.28
"      Fruits and vegetables                                 ","SE",0.24,1.03,0.7,0.62,0.59,0.45,0.66,0.8,0.58,0.43
"        Fresh fruits                                        ","MEAN",5.26,2.94,2.54,2.77,3,3.78,4.31,4.8,4.95,7.65
"        Fresh fruits                                        ","SE",0.1,0.45,0.2,0.28,0.23,0.19,0.3,0.3,0.23,0.19
"          Apples                                            ","MEAN",0.82,0.48,0.33,0.45,0.46,0.55,0.63,0.69,0.8,1.21
"          Apples                                            ","SE",0.02,0.13,0.06,0.04,0.05,0.06,0.06,0.07,0.07,0.05
"          Bananas                                           ","MEAN",0.83,0.42,0.53,0.54,0.58,0.61,0.77,0.81,0.73,1.15
"          Bananas                                           ","SE",0.02,0.06,0.07,0.07,0.05,0.05,0.07,0.07,0.05,0.05
"          Oranges                                           ","MEAN",0.54,0.33,0.16,0.2,0.33,0.42,0.49,0.47,0.51,0.79
"          Oranges                                           ","SE",0.02,0.05,0.03,0.04,0.04,0.04,0.07,0.05,0.04,0.03
"          Citrus fruits, excluding oranges                  ","MEAN",0.81,0.59,0.39,0.44,0.44,0.59,0.76,0.79,0.77,1.11
"          Citrus fruits, excluding oranges                  ","SE",0.02,0.13,0.05,0.1,0.06,0.05,0.08,0.08,0.06,0.05
"          Other fresh fruits                                ","MEAN",2.26,1.12,1.13,1.13,1.19,1.61,1.66,2.04,2.13,3.39
"          Other fresh fruits                                ","SE",0.05,0.19,0.11,0.14,0.12,0.1,0.15,0.14,0.14,0.1
"        Fresh vegetables                                    ","MEAN",4.62,2.8,2.59,2.48,3.02,3.34,3.69,4.45,4.46,6.49
"        Fresh vegetables                                    ","SE",0.08,0.36,0.4,0.18,0.23,0.18,0.22,0.33,0.22,0.17
"          Potatoes                                          ","MEAN",0.75,0.48,0.52,0.41,0.62,0.58,0.58,0.7,0.75,1.01
"          Potatoes                                          ","SE",0.02,0.08,0.19,0.05,0.08,0.04,0.05,0.08,0.06,0.03
"          Lettuce                                           ","MEAN",0.63,0.32,0.35,0.35,0.43,0.46,0.53,0.6,0.64,0.88
"          Lettuce                                           ","SE",0.02,0.06,0.06,0.05,0.07,0.04,0.05,0.06,0.04,0.04
"          Tomatoes                                          ","MEAN",0.78,0.44,0.53,0.47,0.51,0.59,0.68,0.81,0.74,1.05
"          Tomatoes                                          ","SE",0.02,0.08,0.1,0.07,0.06,0.05,0.06,0.09,0.06,0.05
"          Other fresh vegetables                            ","MEAN",2.45,1.57,1.19,1.25,1.46,1.71,1.9,2.33,2.33,3.55
"          Other fresh vegetables                            ","SE",0.05,0.23,0.15,0.09,0.13,0.12,0.14,0.19,0.12,0.1
"        Processed fruits                                    ","MEAN",2.09,1.48,1.14,1.25,1.35,1.6,1.7,1.97,2.17,2.8
"        Processed fruits                                    ","SE",0.06,0.2,0.15,0.12,0.1,0.11,0.11,0.16,0.12,0.1
"          Frozen fruits and fruit juices                    ","MEAN",0.23,0.22,0.1,0.11,0.12,0.14,0.16,0.25,0.26,0.31
"          Frozen fruits and fruit juices                    ","SE",0.02,0.09,0.04,0.04,0.03,0.03,0.04,0.05,0.03,0.03
"            Frozen orange juice                             ","MEAN",0.04,0.03,0.04,0.03,0.03,0.01,0.02,0.04,0.06,0.05
"            Frozen orange juice                             ","SE",0,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"            Frozen fruits                                   ","MEAN",0.14,0.13,0.04,0.05,0.07,0.1,0.1,0.16,0.15,0.19
"            Frozen fruits                                   ","SE",0.01,0.07,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03
"            Frozen fruit juices                             ","MEAN",0.05,0.07,0.02,0.03,0.02,0.03,0.04,0.05,0.05,0.07
"            Frozen fruit juices                             ","SE",0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.03,0.02,0.01
"          Canned fruits                                     ","MEAN",0.36,0.18,0.16,0.23,0.21,0.26,0.29,0.37,0.36,0.5
"          Canned fruits                                     ","SE",0.02,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.05,0.03
"          Dried fruit                                       ","MEAN",0.15,0.08,0.08,0.11,0.1,0.1,0.14,0.13,0.13,0.21
"          Dried fruit                                       ","SE",0.01,0.04,0.03,0.04,0.03,0.02,0.02,0.03,0.02,0.01
"          Fresh fruit juice                                 ","MEAN",0.3,0.11,0.16,0.12,0.2,0.24,0.2,0.3,0.32,0.43
"          Fresh fruit juice                                 ","SE",0.02,0.03,0.05,0.03,0.04,0.03,0.03,0.04,0.04,0.03
"          Canned and bottled fruit juice                    ","MEAN",1.05,0.89,0.63,0.68,0.71,0.86,0.9,0.92,1.1,1.35
"          Canned and bottled fruit juice                    ","SE",0.03,0.11,0.09,0.08,0.06,0.08,0.07,0.08,0.09,0.06
"        Processed vegetables                                ","MEAN",2.56,1.59,1.55,1.75,1.87,1.99,2.38,2.36,2.53,3.34
"        Processed vegetables                                ","SE",0.07,0.23,0.2,0.24,0.18,0.11,0.17,0.16,0.18,0.11
"          Frozen vegetables                                 ","MEAN",0.69,0.43,0.5,0.49,0.4,0.46,0.7,0.59,0.64,0.94
"          Frozen vegetables                                 ","SE",0.02,0.08,0.1,0.09,0.06,0.04,0.08,0.06,0.05,0.04
"          Canned and dried vegetables and juices            ","MEAN",1.87,1.16,1.05,1.26,1.47,1.53,1.68,1.77,1.88,2.4
"          Canned and dried vegetables and juices            ","SE",0.06,0.18,0.15,0.19,0.14,0.1,0.12,0.14,0.15,0.09
"            Canned beans                                    ","MEAN",0.47,0.32,0.28,0.32,0.37,0.39,0.47,0.39,0.49,0.59
"            Canned beans                                    ","SE",0.02,0.06,0.04,0.06,0.08,0.05,0.05,0.04,0.05,0.03
"            Canned corn                                     ","MEAN",0.23,0.13,0.11,0.16,0.21,0.19,0.2,0.23,0.2,0.3
"            Canned corn                                     ","SE",0.01,0.04,0.03,0.05,0.04,0.04,0.03,0.04,0.03,0.02
"            Canned miscellaneous vegetables                 ","MEAN",0.46,0.25,0.23,0.32,0.34,0.39,0.39,0.38,0.46,0.62
"            Canned miscellaneous vegetables                 ","SE",0.02,0.06,0.04,0.07,0.05,0.04,0.05,0.05,0.05,0.03
"            Dried peas                                      ","MEAN",0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0.01
"            Dried peas                                      ","SE",0,0.01,0,0.01,0.01,0.01,0.01,0,0,0
"            Dried beans                                     ","MEAN",0.11,0.09,0.02,0.07,0.11,0.07,0.11,0.11,0.12,0.12
"            Dried beans                                     ","SE",0.01,0.03,0.01,0.02,0.04,0.02,0.03,0.02,0.02,0.01
"            Dried miscellaneous vegetables                  ","MEAN",0.21,0.13,0.13,0.14,0.17,0.2,0.2,0.2,0.19,0.28
"            Dried miscellaneous vegetables                  ","SE",0.01,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02
"            Dried processed vegetables                      ","MEAN",0.01,0,0.01,0,0,0.02,0.01,0,0.01,0.01
"            Dried processed vegetables                      ","SE",0,0,0.01,0,0,0.01,0.01,0,0.01,0
"            Frozen vegetable juices                         ","MEAN",0.01,0,0.04,0,0,0,0.01,0.01,0.01,0.01
"            Frozen vegetable juices                         ","SE",0,0,0.04,0,0,0,0.01,0.01,0,0
"            Fresh and canned vegetable juices               ","MEAN",0.36,0.21,0.22,0.23,0.26,0.25,0.27,0.44,0.39,0.46
"            Fresh and canned vegetable juices               ","SE",0.02,0.04,0.04,0.04,0.04,0.03,0.03,0.05,0.05,0.04
"      Other food at home                                    ","MEAN",25.59,15.28,15.64,15.97,17.49,18.55,21.85,23.29,25.1,35.05
