"title","estimate","all consumer units","less than $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $69,999","$70,000 and over"
"      Other food at home                                    ","SE",0.46,1.31,1.55,1.01,0.91,0.89,1.04,1.09,1.07,0.8
"        Sugar and other sweets                              ","MEAN",2.68,1.62,1.54,1.77,1.75,1.97,2.54,2.6,2.4,3.65
"        Sugar and other sweets                              ","SE",0.08,0.24,0.22,0.2,0.1,0.15,0.25,0.17,0.13,0.13
"          Candy and chewing gum                             ","MEAN",1.7,0.94,0.88,0.98,1.03,1.13,1.59,1.65,1.47,2.43
"          Candy and chewing gum                             ","SE",0.06,0.17,0.18,0.13,0.11,0.12,0.2,0.13,0.1,0.12
"          Sugar                                             ","MEAN",0.39,0.3,0.36,0.3,0.34,0.35,0.45,0.44,0.33,0.44
"          Sugar                                             ","SE",0.02,0.05,0.09,0.05,0.08,0.04,0.06,0.05,0.03,0.04
"          Artificial sweeteners                             ","MEAN",0.07,0.08,0.08,0.01,0.06,0.04,0.09,0.06,0.08,0.09
"          Artificial sweeteners                             ","SE",0.01,0.04,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0.01
"          Jams, preserves, other sweets                     ","MEAN",0.52,0.3,0.22,0.48,0.32,0.45,0.41,0.45,0.52,0.69
"          Jams, preserves, other sweets                     ","SE",0.02,0.06,0.04,0.08,0.04,0.05,0.05,0.06,0.05,0.04
"        Fats and oils                                       ","MEAN",2.21,1.58,1.28,1.57,1.68,1.59,2,1.99,2.11,2.94
"        Fats and oils                                       ","SE",0.06,0.25,0.18,0.19,0.16,0.11,0.13,0.13,0.12,0.12
"          Margarine                                         ","MEAN",0.13,0.11,0.1,0.11,0.11,0.11,0.12,0.09,0.15,0.16
"          Margarine                                         ","SE",0.01,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02
"          Fats and oils                                     ","MEAN",0.69,0.55,0.31,0.54,0.62,0.48,0.7,0.7,0.65,0.87
"          Fats and oils                                     ","SE",0.03,0.1,0.08,0.08,0.09,0.05,0.08,0.07,0.05,0.05
"          Salad dressings                                   ","MEAN",0.57,0.35,0.39,0.41,0.36,0.46,0.52,0.53,0.56,0.74
"          Salad dressings                                   ","SE",0.02,0.06,0.08,0.12,0.03,0.05,0.05,0.05,0.05,0.04
"          Nondairy cream and imitation milk                 ","MEAN",0.44,0.19,0.19,0.23,0.33,0.3,0.38,0.38,0.44,0.61
"          Nondairy cream and imitation milk                 ","SE",0.02,0.06,0.05,0.05,0.06,0.04,0.04,0.05,0.05,0.04
"          Peanut butter                                     ","MEAN",0.38,0.38,0.28,0.28,0.25,0.26,0.27,0.29,0.3,0.56
"          Peanut butter                                     ","SE",0.02,0.17,0.06,0.05,0.05,0.03,0.04,0.04,0.03,0.04
"        Miscellaneous foods                                 ","MEAN",13.5,7.79,8.1,7.91,8.8,9.32,11.11,12.33,12.97,19.08
"        Miscellaneous foods                                 ","SE",0.26,0.78,0.98,0.51,0.56,0.53,0.65,0.64,0.6,0.44
"          Frozen prepared foods                             ","MEAN",2.48,1.4,1.81,1.8,1.89,1.64,2.33,2.19,2.53,3.26
"          Frozen prepared foods                             ","SE",0.1,0.26,0.32,0.18,0.16,0.15,0.34,0.18,0.19,0.18
"            Frozen meals                                    ","MEAN",1.1,0.52,0.88,0.75,0.89,0.72,1.1,0.91,1.08,1.46
"            Frozen meals                                    ","SE",0.06,0.12,0.2,0.13,0.1,0.09,0.29,0.11,0.11,0.12
"            Other frozen prepared foods                     ","MEAN",1.38,0.88,0.93,1.04,1,0.92,1.23,1.28,1.45,1.8
"            Other frozen prepared foods                     ","SE",0.06,0.19,0.26,0.19,0.12,0.09,0.15,0.11,0.13,0.09
"          Canned and packaged soups                         ","MEAN",0.89,0.68,0.47,0.54,0.56,0.7,0.75,0.91,0.79,1.21
"          Canned and packaged soups                         ","SE",0.02,0.11,0.09,0.06,0.07,0.07,0.08,0.09,0.08,0.05
"          Potato chips, nuts, and other snacks              ","MEAN",3.11,1.77,1.73,1.65,1.83,2.16,2.45,2.89,3.08,4.45
"          Potato chips, nuts, and other snacks              ","SE",0.07,0.26,0.26,0.18,0.21,0.14,0.15,0.17,0.18,0.15
"            Potato chips and other snacks                   ","MEAN",2.21,1.3,1.36,1.3,1.27,1.56,1.76,2.14,2.28,3.06
"            Potato chips and other snacks                   ","SE",0.05,0.26,0.21,0.13,0.17,0.1,0.12,0.14,0.15,0.11
"            Nuts                                            ","MEAN",0.9,0.47,0.38,0.35,0.57,0.61,0.69,0.75,0.8,1.39
"            Nuts                                            ","SE",0.04,0.15,0.09,0.1,0.1,0.08,0.08,0.09,0.09,0.07
"          Condiments and seasonings                         ","MEAN",2.58,1.54,1.06,1.38,1.69,1.79,2.03,2.56,2.52,3.67
"          Condiments and seasonings                         ","SE",0.05,0.22,0.14,0.13,0.14,0.12,0.13,0.22,0.14,0.11
"            Salt, spices, other seasonings                  ","MEAN",0.72,0.53,0.34,0.39,0.49,0.5,0.59,0.86,0.63,1
"            Salt, spices, other seasonings                  ","SE",0.02,0.09,0.08,0.06,0.05,0.06,0.06,0.11,0.05,0.04
"            Olives, pickles, relishes                       ","MEAN",0.3,0.2,0.1,0.17,0.22,0.22,0.22,0.26,0.32,0.42
"            Olives, pickles, relishes                       ","SE",0.01,0.06,0.03,0.03,0.06,0.03,0.03,0.04,0.04,0.03
"            Sauces and gravies                              ","MEAN",1.13,0.62,0.45,0.63,0.68,0.77,0.88,0.98,1.15,1.64
"            Sauces and gravies                              ","SE",0.03,0.09,0.06,0.07,0.06,0.05,0.06,0.08,0.08,0.06
"            Baking needs and miscellaneous products         ","MEAN",0.43,0.18,0.17,0.19,0.29,0.3,0.34,0.46,0.42,0.61
"            Baking needs and miscellaneous products         ","SE",0.02,0.04,0.05,0.03,0.04,0.03,0.05,0.06,0.04,0.03
"          Other canned and packaged prepared foods          ","MEAN",4.44,2.4,3.02,2.54,2.83,3.03,3.54,3.78,4.05,6.5
"          Other canned and packaged prepared foods          ","SE",0.11,0.46,0.62,0.27,0.23,0.26,0.26,0.24,0.24,0.28
"            Prepared salads                                 ","MEAN",0.75,0.34,0.49,0.35,0.53,0.45,0.59,0.54,0.78,1.11
"            Prepared salads                                 ","SE",0.03,0.06,0.12,0.09,0.08,0.04,0.06,0.05,0.08,0.06
"            Prepared desserts                               ","MEAN",0.3,0.15,0.23,0.25,0.31,0.23,0.27,0.3,0.28,0.37
"            Prepared desserts                               ","SE",0.01,0.04,0.06,0.05,0.06,0.03,0.04,0.04,0.03,0.03
"            Baby food                                       ","MEAN",0.46,0.46,0.76,0.28,0.21,0.38,0.29,0.41,0.26,0.66
"            Baby food                                       ","SE",0.05,0.41,0.55,0.1,0.1,0.12,0.08,0.13,0.08,0.1
"            Miscellaneous prepared foods                    ","MEAN",2.94,1.45,1.54,1.66,1.76,1.96,2.39,2.53,2.72,4.35
"            Miscellaneous prepared foods                    ","SE",0.09,0.2,0.24,0.23,0.17,0.17,0.23,0.2,0.17,0.23
"            Vitamin supplements                             ","MEAN",0,0,0,0,0.02,0,0,0,0,0
"            Vitamin supplements                             ","SE",0,0,0,0,0.02,0,0,0,0,0
"        Nonalcoholic beverages                              ","MEAN",7.2,4.3,4.72,4.71,5.27,5.67,6.2,6.37,7.63,9.38
"        Nonalcoholic beverages                              ","SE",0.13,0.44,0.47,0.35,0.32,0.33,0.32,0.34,0.41,0.3
"          Cola                                              ","MEAN",1.29,0.87,0.97,0.98,0.98,1.08,1.3,1.17,1.44,1.5
"          Cola                                              ","SE",0.04,0.14,0.15,0.11,0.1,0.09,0.11,0.09,0.11,0.06
"          Other carbonated drinks                           ","MEAN",1.26,0.78,0.94,0.98,0.97,0.99,1.06,1.25,1.37,1.54
"          Other carbonated drinks                           ","SE",0.03,0.11,0.18,0.17,0.1,0.11,0.1,0.12,0.09,0.07
"          Tea                                               ","MEAN",0.68,0.33,0.51,0.4,0.51,0.44,0.57,0.73,0.73,0.89
"          Tea                                               ","SE",0.03,0.06,0.09,0.07,0.09,0.05,0.06,0.1,0.09,0.06
"          Coffee                                            ","MEAN",1.72,0.88,0.73,0.93,1.04,1.33,1.4,1.48,1.86,2.4
"          Coffee                                            ","SE",0.06,0.16,0.1,0.11,0.1,0.14,0.12,0.12,0.25,0.12
"            Roasted coffee                                  ","MEAN",1.13,0.48,0.36,0.57,0.62,0.81,0.86,0.9,1.21,1.67
"            Roasted coffee                                  ","SE",0.05,0.1,0.07,0.08,0.07,0.12,0.09,0.09,0.14,0.1
"            Instant and freeze dried coffee                 ","MEAN",0.6,0.39,0.36,0.36,0.42,0.52,0.54,0.59,0.65,0.74
"            Instant and freeze dried coffee                 ","SE",0.03,0.1,0.06,0.05,0.06,0.04,0.05,0.07,0.13,0.04
"          Noncarbonated fruit flavored drinks, including    ","MEAN",0.48,0.28,0.35,0.29,0.39,0.48,0.38,0.38,0.45,0.63
"          Noncarbonated fruit flavored drinks, including    ","SE",0.02,0.08,0.06,0.08,0.06,0.07,0.05,0.05,0.05,0.05
"          Other noncarbonated beverages and ice             ","MEAN",0.28,0.18,0.16,0.21,0.25,0.19,0.24,0.2,0.33,0.37
"          Other noncarbonated beverages and ice             ","SE",0.01,0.06,0.05,0.07,0.05,0.03,0.04,0.04,0.04,0.03
"          Bottled water                                     ","MEAN",1.16,0.76,0.78,0.7,0.95,0.93,0.96,0.89,1.15,1.56
"          Bottled water                                     ","SE",0.04,0.1,0.11,0.1,0.13,0.09,0.1,0.07,0.08,0.08
"          Sports drinks                                     ","MEAN",0.33,0.22,0.3,0.23,0.18,0.23,0.28,0.26,0.3,0.47
"          Sports drinks                                     ","SE",0.01,0.05,0.12,0.05,0.05,0.04,0.07,0.04,0.04,0.04
"          Nonalcoholic beer                                 ","MEAN",0,0,0,0,0,0,0,0,0,0
"          Nonalcoholic beer                                 ","SE",0,0,0,0,0,0,0,0,0,0
"    Food away from home                                     ","MEAN",45.67,21.33,17.34,17.07,22.17,25.46,31.6,38.44,43.19,74.03
"    Food away from home                                     ","SE",0.86,2.07,1.9,1.53,1.79,1.34,1.72,2.25,1.37,1.5
"      Meals at restaurants (except on trips)                ","MEAN",45.67,21.33,17.34,17.07,22.17,25.46,31.6,38.44,43.19,74.03
"      Meals at restaurants (except on trips)                ","SE",0.86,2.07,1.9,1.53,1.79,1.34,1.72,2.25,1.37,1.5
"        Lunch                                               ","MEAN",14.87,6.62,6.42,6.15,7.06,9.03,11.04,11.92,14.52,23.48
"        Lunch                                               ","SE",0.32,0.86,0.94,0.69,0.57,0.5,0.64,0.76,0.63,0.62
"          Lunch at fast food, take-out, delivery, concession","MEAN",7.28,3.75,3.84,3.57,4.09,4.68,5.68,6.45,7.27,10.78
"          Lunch at fast food, take-out, delivery, concession","SE",0.19,0.58,0.58,0.45,0.39,0.3,0.34,0.5,0.35,0.39
"          Lunch at full service restaurants                 ","MEAN",6.03,2.51,2,2.21,2.62,3.71,4.13,4.47,5.91,9.86
"          Lunch at full service restaurants                 ","SE",0.2,0.5,0.69,0.49,0.35,0.34,0.55,0.41,0.38,0.4
"          Lunch at vending machines and mobile vendors      ","MEAN",0.2,0.06,0.14,0.13,0.07,0.14,0.38,0.17,0.21,0.24
"          Lunch at vending machines and mobile vendors      ","SE",0.03,0.04,0.08,0.09,0.04,0.05,0.23,0.06,0.04,0.03
"          Lunch at employer and school cafeterias           ","MEAN",1.35,0.3,0.44,0.25,0.27,0.5,0.84,0.84,1.13,2.6
"          Lunch at employer and school cafeterias           ","SE",0.1,0.14,0.19,0.08,0.08,0.12,0.18,0.18,0.16,0.27
"         Dinner                                             ","MEAN",22.13,10.36,7.31,7.31,10.42,11.03,14.26,18.57,19.93,37.39
"         Dinner                                             ","SE",0.52,1.24,0.99,0.9,1.19,0.78,0.97,1.31,0.83,1.06
"          Dinner at fast food, take-out, delivery, concessio","MEAN",7.46,4.59,3.73,3.56,3.6,4.18,6.33,6.72,8.17,10.82
"          Dinner at fast food, take-out, delivery, concessio","SE",0.2,0.58,0.56,0.47,0.38,0.38,0.43,0.65,0.49,0.37
"          Dinner at full service restaurants                ","MEAN",14.48,5.6,3.2,3.67,6.74,6.72,7.7,11.7,11.56,26.33
"          Dinner at full service restaurants                ","SE",0.49,0.91,0.59,0.68,1,0.57,0.91,1.08,0.83,1.04
"          Dinner at vending machines and mobile vendors     ","MEAN",0.07,0.02,0.07,0.02,0.04,0.06,0.07,0.05,0.07,0.11
"          Dinner at vending machines and mobile vendors     ","SE",0.01,0.02,0.05,0.02,0.03,0.03,0.03,0.02,0.02,0.03
"          Dinner at employer and school cafeterias          ","MEAN",0.12,0.15,0.31,0.07,0.03,0.07,0.16,0.09,0.13,0.13
"          Dinner at employer and school cafeterias          ","SE",0.02,0.11,0.26,0.06,0.02,0.03,0.05,0.03,0.05,0.03
"        Snacks and nonalcoholic beverages                   ","MEAN",3.69,1.69,1.24,1.48,1.96,1.89,2.51,3.68,3.43,5.9
"        Snacks and nonalcoholic beverages                   ","SE",0.11,0.26,0.18,0.23,0.5,0.21,0.19,0.33,0.2,0.22
"          Snacks and nonalcoholic beverages at fast food,   ","MEAN",2.38,0.91,0.71,0.87,1.22,1.14,1.58,2.28,2.37,3.84
"          Snacks and nonalcoholic beverages at fast food,   ","SE",0.09,0.15,0.15,0.16,0.45,0.13,0.16,0.22,0.17,0.18
"          Snacks and nonalcoholic beverages at full service ","MEAN",0.77,0.53,0.22,0.35,0.45,0.38,0.49,0.78,0.55,1.29
"          Snacks and nonalcoholic beverages at full service ","SE",0.04,0.17,0.07,0.1,0.12,0.08,0.11,0.13,0.08,0.11
"          Snacks and nonalcoholic beverages at vending      ","MEAN",0.4,0.17,0.18,0.18,0.24,0.28,0.3,0.47,0.41,0.57
"          Snacks and nonalcoholic beverages at vending      ","SE",0.03,0.05,0.06,0.06,0.04,0.06,0.06,0.14,0.05,0.07
"          Snacks and nonalcoholic beverages at employer and ","MEAN",0.14,0.08,0.13,0.08,0.05,0.1,0.15,0.15,0.1,0.19
"          Snacks and nonalcoholic beverages at employer and ","SE",0.01,0.02,0.07,0.03,0.02,0.03,0.06,0.04,0.02,0.02
"        Breakfast and brunch                                ","MEAN",4.98,2.66,2.37,2.13,2.73,3.51,3.79,4.27,5.31,7.27
"        Breakfast and brunch                                ","SE",0.14,0.39,0.39,0.3,0.34,0.34,0.37,0.45,0.32,0.28
"          Breakfast and brunch at fast food, take-out,      ","MEAN",2.63,1.11,1.44,1.27,1.28,1.98,2.09,2.21,2.98,3.71
"          Breakfast and brunch at fast food, take-out,      ","SE",0.07,0.21,0.23,0.19,0.18,0.24,0.21,0.28,0.24,0.14
"          Breakfast and brunch at full service restaurants  ","MEAN",2.1,1.45,0.6,0.78,1.33,1.44,1.46,1.91,2.09,3.14
"          Breakfast and brunch at full service restaurants  ","SE",0.1,0.32,0.2,0.19,0.25,0.23,0.26,0.29,0.2,0.24
"          Breakfast and brunch at vending machines and mobil","MEAN",0.08,0.05,0.03,0.03,0.04,0.04,0.03,0.08,0.08,0.13
"          Breakfast and brunch at vending machines and mobil","SE",0.01,0.03,0.02,0.03,0.02,0.01,0.02,0.03,0.03,0.03
"          Breakfast and brunch at employer and school       ","MEAN",0.18,0.05,0.31,0.05,0.09,0.05,0.22,0.08,0.17,0.29
"          Breakfast and brunch at employer and school       ","SE",0.02,0.03,0.21,0.03,0.05,0.02,0.09,0.03,0.03,0.04
"  Alcoholic beverages                                       ","MEAN",7.92,4,2.38,2.43,3.52,3.46,4.41,5.6,6.65,14.28
"  Alcoholic beverages                                       ","SE",0.33,0.66,0.48,0.48,0.52,0.43,0.57,0.54,0.61,0.72
"    At home                                                 ","MEAN",4.78,2.69,1.76,1.32,2.08,2.37,3.03,3.32,4.18,8.34
"    At home                                                 ","SE",0.21,0.47,0.39,0.29,0.4,0.31,0.44,0.37,0.36,0.43
"      Beer and ale                                          ","MEAN",2.18,1.62,1.28,0.96,1.17,1.4,1.71,1.76,2.09,3.27
"      Beer and ale                                          ","SE",0.1,0.41,0.36,0.27,0.27,0.18,0.26,0.22,0.23,0.18
"      Whiskey                                               ","MEAN",0.19,0.27,0,0.03,0.07,0.14,0.1,0.13,0.17,0.31
"      Whiskey                                               ","SE",0.03,0.2,0,0.03,0.05,0.07,0.06,0.05,0.06,0.06
"      Wine                                                  ","MEAN",2.02,0.46,0.45,0.19,0.62,0.74,0.95,1.09,1.49,4.12
"      Wine                                                  ","SE",0.15,0.14,0.15,0.05,0.17,0.17,0.26,0.23,0.19,0.35
"      Other alcoholic beverages                             ","MEAN",0.39,0.34,0.03,0.14,0.22,0.09,0.27,0.35,0.44,0.64
"      Other alcoholic beverages                             ","SE",0.03,0.13,0.03,0.07,0.11,0.04,0.09,0.09,0.11,0.07
"    Away from home                                          ","MEAN",3.14,1.31,0.62,1.12,1.44,1.09,1.38,2.28,2.47,5.94
"    Away from home                                          ","SE",0.17,0.4,0.22,0.28,0.28,0.2,0.26,0.28,0.37,0.44
"      Beer and ale                                          ","MEAN",1.36,0.68,0.24,0.58,0.62,0.56,0.82,1.18,1.27,2.33
"      Beer and ale                                          ","SE",0.08,0.29,0.1,0.21,0.14,0.09,0.17,0.13,0.2,0.19
"        Beer and ale at fast food, take-out, delivery,      ","MEAN",0.21,0.12,0,0.11,0.11,0.08,0.22,0.17,0.19,0.34
"        Beer and ale at fast food, take-out, delivery,      ","SE",0.02,0.1,0,0.06,0.05,0.03,0.09,0.06,0.06,0.03
"        Beer and ale at full service restaurants            ","MEAN",1.13,0.56,0.24,0.34,0.51,0.48,0.6,1.02,1.04,1.96
"        Beer and ale at full service restaurants            ","SE",0.08,0.21,0.1,0.13,0.12,0.09,0.13,0.13,0.16,0.18
"        Beer and ale at vending machines and mobile vendors ","MEAN",0.02,0,0,0.13,0.01,0,0,0,0.02,0.02
"        Beer and ale at vending machines and mobile vendors ","SE",0.01,0,0,0.11,0.01,0,0,0,0.02,0.01
"        Beer at employer                                    ","MEAN",0.01,0,0,0,0,0,0,0,0.02,0.02
"        Beer at employer                                    ","SE",0.01,0,0,0,0,0,0,0,0.02,0.02
"        Beer at board                                       ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Beer and ale at catered affairs                     ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Wine                                                  ","MEAN",0.74,0.16,0.17,0.1,0.27,0.16,0.23,0.38,0.46,1.62
"      Wine                                                  ","SE",0.06,0.09,0.04,0.06,0.11,0.05,0.08,0.09,0.09,0.18
"        Wine at fast food, take-out, delivery, concession   ","MEAN",0.04,0.01,0,0,0.02,0,0.03,0.02,0.03,0.09
"        Wine at fast food, take-out, delivery, concession   ","SE",0.01,0.01,0,0,0.02,0,0.02,0.02,0.02,0.02
"        Wine at full service restaurants                    ","MEAN",0.7,0.14,0.17,0.1,0.21,0.16,0.2,0.36,0.42,1.53
"        Wine at full service restaurants                    ","SE",0.06,0.08,0.04,0.06,0.08,0.05,0.08,0.09,0.09,0.17
"        Wine at vending machines and mobile vendors         ","MEAN",0,0.01,0,0,0,0,0,0,0.01,0
"        Wine at vending machines and mobile vendors         ","SE",0,0.02,0,0,0,0,0,0,0.01,0
"        Wine at employer                                    ","MEAN",0,0,0,0,0.04,0,0,0,0,0.01
"        Wine at employer                                    ","SE",0,0,0,0,0.04,0,0,0,0,0.01
"        Wine at board                                       ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Wine at catered affairs                             ","MEAN",0,0,0,0,0,0,0,0,0,0
"      Other alcoholic beverages                             ","MEAN",1.03,0.47,0.21,0.44,0.55,0.37,0.34,0.72,0.74,1.99
"      Other alcoholic beverages                             ","SE",0.08,0.16,0.12,0.12,0.16,0.12,0.09,0.17,0.16,0.21
"        Other alcoholic beverages at fast food, take-out,   ","MEAN",0.06,0.01,0.06,0.04,0.1,0.05,0.04,0.04,0.1,0.05
"        Other alcoholic beverages at fast food, take-out,   ","SE",0.01,0.01,0.04,0.02,0.05,0.04,0.02,0.02,0.03,0.01
"        Other alcoholic beverages at full service restaurant","MEAN",0.96,0.46,0.15,0.4,0.45,0.31,0.29,0.67,0.64,1.91
"        Other alcoholic beverages at full service restaurant","SE",0.08,0.16,0.1,0.12,0.15,0.09,0.08,0.16,0.16,0.21
"        Other alcoholic beverages at vending machines and   ","MEAN",0,0,0,0,0,0,0.01,0.01,0,0
"        Other alcoholic beverages at vending machines and   ","SE",0,0,0,0,0,0,0.01,0.01,0,0
"        Other alcohol at employer                           ","MEAN",0.01,0,0,0,0,0,0,0,0,0.02
"        Other alcohol at employer                           ","SE",0.01,0,0,0,0,0,0,0,0,0.02
"        Other alcohol at board                              ","MEAN",0,0,0,0,0,0,0,0,0,0
"        Other alcoholic beverages at catered affairs        ","MEAN",0,0,0,0,0,0,0,0,0,0
"  Housing                                                   ","MEAN",93.62,42.52,41.44,50.42,60.53,70.36,75.88,86.76,94.22,132.08
"  Housing                                                   ","SE",2.13,5.24,4.2,4.73,3.88,4.21,4.21,5.44,4.47,3.92
"    Fuel and utilities                                      ","MEAN",64.99,32.41,29.36,38.17,47.86,54.47,55.31,62.23,66.09,86.21
"    Fuel and utilities                                      ","SE",1.67,4.32,3.39,4.03,3.56,3.88,3.69,4.62,3.33,3.08
"      Electricity and natural gas                           ","MEAN",34.21,16.89,16.48,24.37,27.55,32.23,31.55,30.52,35.21,42.63
"      Electricity and natural gas                           ","SE",0.93,2.52,2.57,2.94,2.63,2.82,2.54,2.14,1.97,1.8
"        Electricity                                         ","MEAN",26.27,14.48,14.54,19.35,20.66,25.62,25.31,24.13,26.7,31.74
"        Electricity                                         ","SE",0.87,2.33,2.46,2.41,2.45,2.36,2.16,1.8,1.86,1.62
"        Natural gas                                         ","MEAN",7.94,2.42,1.95,5.01,6.89,6.61,6.25,6.39,8.51,10.88
"        Natural gas                                         ","SE",0.37,0.6,0.69,1.31,0.97,0.82,0.85,0.76,1.04,0.62
"      Fuel oil and other fuels                              ","MEAN",5.52,4.29,1.96,1.56,3.24,1.85,2.94,6.87,4.56,9.12
"      Fuel oil and other fuels                              ","SE",0.7,1.83,1.13,0.63,1.51,0.33,1,3.19,0.88,1.47
"        Fuel oil                                            ","MEAN",1.92,2.57,0,0.55,0.66,0.06,0.45,1.7,1.42,3.82
"        Fuel oil                                            ","SE",0.38,1.74,0,0.57,0.54,0.06,0.31,0.53,0.69,0.97
"        Bottled and tank gas                                ","MEAN",2.08,0.44,0,0.23,1.28,0.8,1.41,4.17,1.5,3.26
"        Bottled and tank gas                                ","SE",0.46,0.3,0,0.15,0.97,0.27,0.89,3.1,0.39,0.85
"        Coal                                                ","MEAN",0.11,0,0,0.07,0.25,0.01,0.08,0.13,0.13,0.13
"        Coal                                                ","SE",0.03,0,0,0.07,0.17,0.01,0.08,0.09,0.07,0.05
"        Miscellaneous fuels                                 ","MEAN",1.41,1.28,1.96,0.71,1.05,0.98,1,0.86,1.52,1.91
"        Miscellaneous fuels                                 ","SE",0.1,0.4,1.13,0.26,0.26,0.26,0.22,0.2,0.23,0.18
"      Telephone services                                    ","MEAN",25.27,11.23,10.92,12.25,17.08,20.38,20.82,24.84,26.32,34.47
"      Telephone services                                    ","SE",0.61,1.72,1.43,1.64,1.41,1.82,1.61,1.73,1.7,1.19
"    Household operations                                    ","MEAN",0.47,0.18,0.13,0.15,0.22,0.24,0.27,0.34,0.41,0.83
"    Household operations                                    ","SE",0.04,0.08,0.06,0.05,0.08,0.05,0.05,0.08,0.07,0.09
"      Other household expenses                              ","MEAN",0.47,0.18,0.13,0.15,0.22,0.24,0.27,0.34,0.41,0.83
"      Other household expenses                              ","SE",0.04,0.08,0.06,0.05,0.08,0.05,0.05,0.08,0.07,0.09
"        Repair of miscellaneous household equipment and     ","MEAN",0.03,0,0,0,0,0,0,0,0.02,0.07
"        Repair of miscellaneous household equipment and     ","SE",0.02,0,0,0,0,0,0,0,0.02,0.05
"        Household laundry and dry cleaning, sent out        ","MEAN",0.3,0.11,0,0.05,0.12,0.11,0.13,0.18,0.19,0.61
"        Household laundry and dry cleaning, sent out        ","SE",0.02,0.07,0,0.02,0.08,0.03,0.05,0.06,0.04,0.05
"        Coin-operated household laundry and dry cleaning    ","MEAN",0.14,0.07,0.13,0.1,0.09,0.13,0.14,0.16,0.2,0.15
"        Coin-operated household laundry and dry cleaning    ","SE",0.01,0.03,0.06,0.04,0.03,0.04,0.03,0.05,0.05,0.03
"    Housekeeping supplies                                   ","MEAN",12.15,5.35,5.08,6.95,6.89,8.64,10.28,10.14,12.11,17.69
"    Housekeeping supplies                                   ","SE",0.36,0.64,0.53,0.76,0.45,0.67,0.77,0.75,1.06,0.65
"      Laundry and cleaning supplies                         ","MEAN",2.84,1.5,1.72,1.78,2.03,2.32,2.48,2.78,2.79,3.73
"      Laundry and cleaning supplies                         ","SE",0.09,0.26,0.38,0.25,0.21,0.21,0.23,0.27,0.17,0.15
"        Soaps and detergents                                ","MEAN",1.54,0.93,0.85,1.11,1.09,1.18,1.33,1.31,1.49,2.08
"        Soaps and detergents                                ","SE",0.05,0.19,0.15,0.18,0.13,0.12,0.11,0.13,0.12,0.1
"        Other laundry cleaning products                     ","MEAN",1.3,0.57,0.88,0.67,0.94,1.15,1.15,1.47,1.3,1.65
"        Other laundry cleaning products                     ","SE",0.06,0.1,0.32,0.09,0.11,0.11,0.18,0.18,0.09,0.11
"      Other household products                              ","MEAN",6.8,3.04,2.7,3.42,3.53,4.4,5.61,5.61,6.63,10.32
"      Other household products                              ","SE",0.25,0.45,0.3,0.39,0.28,0.46,0.41,0.54,0.59,0.49
"        Cleansing and toilet tissue, paper towels and napkin","MEAN",2.38,1.68,1.2,1.53,1.74,1.83,2.24,2.07,2.48,3.09
"        Cleansing and toilet tissue, paper towels and napkin","SE",0.07,0.25,0.18,0.14,0.18,0.15,0.19,0.14,0.21,0.12
"        Miscellaneous household products                    ","MEAN",2.92,1.15,0.91,1.43,1.47,1.39,2.43,2.66,2.79,4.59
"        Miscellaneous household products                    ","SE",0.15,0.19,0.17,0.34,0.19,0.18,0.32,0.47,0.31,0.41
"        Lawn and garden supplies                            ","MEAN",1.51,0.21,0.59,0.46,0.32,1.17,0.94,0.87,1.35,2.65
"        Lawn and garden supplies                            ","SE",0.12,0.11,0.12,0.15,0.07,0.3,0.13,0.14,0.25,0.28
"      Postage and stationery                                ","MEAN",2.51,0.81,0.66,1.75,1.33,1.92,2.2,1.76,2.69,3.64
"      Postage and stationery                                ","SE",0.14,0.2,0.15,0.41,0.14,0.26,0.47,0.19,0.64,0.26
"        Stationery, stationery supplies, giftwrap           ","MEAN",1.33,0.5,0.46,0.91,0.72,1.02,0.81,1.08,1.23,2.06
"        Stationery, stationery supplies, giftwrap           ","SE",0.06,0.17,0.15,0.22,0.09,0.18,0.12,0.15,0.11,0.12
"        Postage                                             ","MEAN",1.1,0.31,0.2,0.81,0.61,0.78,1.33,0.67,1.4,1.45
"        Postage                                             ","SE",0.11,0.1,0.1,0.27,0.11,0.17,0.44,0.11,0.59,0.17
"        Delivery services                                   ","MEAN",0.08,0,0,0.02,0,0.12,0.05,0.01,0.07,0.13
"        Delivery services                                   ","SE",0.02,0,0,0.02,0,0.07,0.03,0.01,0.03,0.04
"    Household furnishings and equipment                     ","MEAN",16,4.58,6.87,5.14,5.57,7.02,10.01,14.04,15.6,27.34
"    Household furnishings and equipment                     ","SE",0.81,1.05,2.06,0.79,0.85,0.72,1.4,2.15,1.57,1.76
"      Household textiles                                    ","MEAN",1.63,0.54,0.4,0.79,0.72,0.71,0.89,1.7,1.66,2.67
"      Household textiles                                    ","SE",0.13,0.2,0.18,0.27,0.25,0.13,0.19,0.33,0.37,0.26
