"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","SAMP_UN","SAMP_UN_","RTELECT","RTELECT_","RTGAS","RTGAS_","RTWATER","RTWATER_","RTHEAT","RTHEAT_","RTTRASH","RTTRASH_","RTASPAY","RTASPAY_","RTCOMPX","RTCOMPX_","RTBSNSZ","RTBSNSZ_","JRTPAYQV","JRTP_YQV","QRT3MCMX","RTTELEPH","QRT3_CMX","RTTE_EPH","RTTVCABL","RTTV_ABL","RTINTRNT","RTIN_RNT","RTFUNSH","RTFUNSH_","GOVTCOST","GOVT_OST","INCLBDS","INCLBDS_","INCLDRYR","INCL_RYR","INCLFRIG","INCL_RIG","INCLPDS","INCLPDS_","INCLSTOV","INCL_TOV","INCLWSHR","INCL_SHR","PUBLHOUS","PUBL_OUS","OWNED","OWNED_","RTPARK","RTPARK_"
"20141",2647805,31,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1575,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20141",2647845,17,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",5400,"2","D","D","1","D","2","D","2","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","1","D"
"20141",2647865,5,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",915,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20141",2647875,7,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",3375,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20141",2647895,29,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647935,15,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",3000,"2","D","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20141",2647965,23,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647975,9,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647985,54,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2647995,48,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648015,25,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",2100,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","1","D"
"20141",2648035,28,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648065,30,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648075,53,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648105,47,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648135,4,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2958,"1","D","D","1","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D","1","D"
"20141",2648165,13,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1650,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","2","D"
"20141",2648215,19,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648245,16,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648265,12,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",588,"2","D","D","1","D","2","D","2","D","1","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20141",2648275,22,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648285,14,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",3267,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","2","D"
"20141",2648325,28,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648345,23,0,"1","1","D","1","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",2175,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","1","D"
"20141",2648385,20,0,"1","1","D","2","D","2","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",2925,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","1","D"
"20141",2648405,11,0,"1","1","D","2","D","2","D","2","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1350,"2","D","D","2","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","1","D"
"20141",2648455,86,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648505,49,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648525,50,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648535,29,0,"1","1","D","2","D","2","D","2","D","2","D","2","D","2","D",.,"A",.,"A",.,"A",1500,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","1","D"
"20141",2648575,13,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",678,"2","D","D","2","D","2","D","1","D","1","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","2","D"
"20141",2648585,28,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648605,60,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648635,22,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648665,17,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648705,36,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",4857,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","1","D"
"20141",2648735,22,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648755,38,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648785,34,0,"1","1","D","2","D","2","D","1","D","1","D","2","D","2","D",.,"A",.,"A",.,"A",2790,"2","D","D","2","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","2","D","2","D"
"20141",2648795,27,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648845,9,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",1725,"2","D","D","1","D","2","D","2","D","2","D","2","D","2","D","1","D","2","D","1","D","2","D","2","D","2","D","2","D"
"20141",2648885,25,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2648925,14,0,"1","1","D","1","D","1","D","1","D","1","D","1","D","2","D",.,"A",.,"A",.,"A",630,"2","D","D","2","D","2","D","2","D",,"A",,"A",,"A",,"A",,"A",,"A",,"A","1","D","2","D","1","D"
"20141",2648965,30,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649045,27,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
"20141",2649075,24,0,"1","1","D","2","D","2","D","1","D","2","D","1","D","2","D",.,"A",.,"A",.,"A",675,"2","D","D","2","D","2","D","2","D","2","D","2","D","1","D","1","D","2","D","1","D","1","D","2","D","2","D","1","D"
"20141",2649095,37,0,"1",,"B",,"A",,"A",,"A",,"A",,"A",,"B",.,"A",.,"A",.,"A",.,,"A","A",,"A",,"A",,"A","2","D",,"A",,"A",,"A",,"A",,"A",,"A","2","D","1","D",,"A"
