"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOB","PROP0NOB","OWNYB","OWNYB_","OBSNSZB","OBSNSZB_","PROPTYPE","PROP_YPE","ACQUIRMO","ACQU_RMO","ACQUIRYR","ACQU_RYR","OWN_PURX","OWN__URX","OWNDPMTX","OWND_MTX","CLOSECST","CLOS_CST","QADPTAX","QADPTAX_","TIMESHAR","TIME_HAR","SHARWKS","SHARWKS_","SHARED1","SHARED1_","SHARPER1","SHAR_ER1","SHARED2","SHARED2_","SHARPER2","SHAR_ER2","GIFTPROP","GIFT_ROP","BSNEXP2","BSNEXP2_"
"20141",2648105,31,0,"5","01","D","100","D",.,"A","3","D","03","D","2002","D",.,"A",.,"A",.,"A",5300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648105,33,0,"5","03","D","400","D",.,"A","3","D","12","D","2012","D",.,"A",.,"A",.,"A",90,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A",,"A"
"20141",2648215,15,0,"5","01","D","100","D",.,"A","3","D",,"C","1966","D",.,"A",.,"A",.,"A",8000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648245,12,0,"5","01","D","100","D",.,"A","3","D","06","D","1995","D",.,"A",.,"A",.,"A",540,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648255,12,0,"5","01","D","100","D",.,"A","3","D",,"B","2009","D",.,"A",.,"A",.,"A",4100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648275,14,0,"5","01","D","100","D",.,"A","3","D","04","D","2010","D",.,"A",.,"A",.,"A",620,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648325,19,0,"5","01","D","100","D",.,"A","3","D","05","D","2002","D",.,"A",.,"A",.,"A",2300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648325,20,0,"5","02","D","400","D",.,"A","3","D","05","D","2002","D",.,"A",.,"A",.,"A",300,"D",,"A",.,"A",,"A",.,"A","1","D",0,"D",,"A",,"A"
"20141",2648435,9,0,"1","01","D","100","D",.,"A","3","D",,"B",,"C",.,"A",.,"A",.,"A",5600,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648455,55,0,"5","01","D","100","D",.,"A","3","D","08","D","2006","D",.,"A",.,"A",.,"A",18001,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648455,56,0,"5","02","D","300","D",.,"A","3","D","11","D","2000","D",.,"A",.,"A",.,"A",900,"D","2","D",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2648455,61,0,"5","07","D","400","D",.,"A","3","D","04","D","2013","D",195149,"T",150000,"D",2000,"D",300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D",,"A"
"20141",2648455,62,0,"5","08","D","400","D",.,"A","3","D","09","D","2013","D",50000,"D",50000,"D",.,"C",2300,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A","2","D",,"A"
"20141",2648465,10,0,"5","01","D","100","D",.,"A","1","D",,"B","1992","D",.,"A",.,"A",.,"A",6200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648505,44,0,"5","01","D","100","D",.,"A","3","D",,"C","1997","D",.,"A",.,"A",.,"A",10000,"D",,"A",.,"A",,"A",.,"A","1","D",.,"C",,"A","2","D"
"20141",2648525,39,0,"5","01","D","100","D",.,"A","3","D","06","D","2010","D",.,"A",.,"A",.,"A",6500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648585,26,0,"5","01","D","100","D",.,"A","3","D","03","D","1980","D",.,"A",.,"A",.,"A",5000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648605,54,0,"5","01","D","100","D",.,"A","3","D","05","D","1981","D",.,"A",.,"A",.,"A",1100,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648635,17,0,"5","01","D","100","D",.,"A","3","D","06","D","2012","D",.,"A",.,"A",.,"A",3500,"D",,"A",.,"A",,"A",.,"A","1","D",1,"D",,"A","2","D"
"20141",2648665,13,0,"5","01","D","100","D",.,"A","3","D","08","D","2012","D",.,"A",.,"A",.,"A",520,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648735,13,0,"5","01","D","100","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",4000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648755,34,0,"5","01","D","100","D",.,"A","1","D","11","D","2003","D",.,"A",.,"A",.,"A",6500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648795,15,0,"5","01","D","100","D",.,"A","3","D","11","D","2000","D",.,"A",.,"A",.,"A",2400,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648885,17,0,"5","01","D","100","D",.,"A","3","D","10","D","1979","D",.,"A",.,"A",.,"A",3600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2648965,24,0,"5","01","D","100","D",.,"A","3","D","11","D","2009","D",.,"A",.,"A",.,"A",3000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649025,16,0,"5","01","D","100","D",.,"A","3","D",,"B","1987","D",.,"A",.,"A",.,"A",1000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649045,17,0,"5","01","D","100","D",.,"A","3","D","05","D","2007","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649095,23,0,"5","01","D","100","D",.,"A","3","D","12","D","1968","D",.,"A",.,"A",.,"A",1500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649095,26,0,"5","04","D","400","D",.,"A","3","D","12","D","2012","D",.,"A",.,"A",.,"A",300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2649095,27,0,"5","05","D","400","D",.,"A","3","D",,"C",,"C",.,"A",.,"A",.,"A",7979,"T",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2649105,24,0,"5","01","D","100","D",.,"A","3","D","11","D","2006","D",.,"A",.,"A",.,"A",1500,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649125,22,0,"5","01","D","100","D",.,"A","3","D","06","D","2006","D",.,"A",.,"A",.,"A",4,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649155,41,0,"5","01","D","100","D",.,"A","3","D","01","D","2003","D",.,"A",.,"A",.,"A",5000,"F",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649185,24,0,"5","01","D","100","D",.,"A","3","D","01","D","2005","D",.,"A",.,"A",.,"A",2600,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A",,"A"
"20141",2649205,54,0,"5","01","D","100","D",.,"A","3","D","11","D","2007","D",.,"A",.,"A",.,"A",3000,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649225,6,0,"5","01","D","100","D",.,"A","3","D",,"B","2006","D",.,"A",.,"A",.,"A",1200,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649275,11,0,"5","01","D","100","D",.,"A","3","D","09","D","2012","D",.,"A",.,"A",.,"A",160,"D",,"A",.,"A",,"A",.,"A","1","D",0,"D",,"A","2","D"
"20141",2649315,45,0,"5","01","D","100","D",.,"A","3","D","03","D","2002","D",.,"A",.,"A",.,"A",2300,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
"20141",2649325,25,0,"5","01","D","100","D",.,"A","3","D","02","D","1998","D",.,"A",.,"A",.,"A",2500,"D",,"A",.,"A",,"A",.,"A","2","D",.,"A",,"A","2","D"
