"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2780963,1,"2013","2012",0,0,0,"1",0,0,"11","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",400,"D",12059,"D",0,"D",0,"D",2000,"D",9,"D",0,"D",0,"D",564,"D",0,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,0,0,0
2780993,1,"2013","2012",0,0,0,"1",0,0,"36","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",4800,"D",0,"D",4800,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781003,1,"2013","2012",2,0.153,0.133,"3",0,0,"36","D",0.0215,0.0235,0,"D",0,"D",14000,"D",0,"D",0,"D",2200,"D",0,"D",0,"D",7560,"D",0,"D",10,"D",0,"D",0,"D",0,"D",-5304,-91,-5236,-5372,47.95,-229.79,1862,2142,16200,16200,16200.01,16200.01,0,0,0,0,0,0,5236,5372,16200,16200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268.6,0
2781003,2,"2013","2012",0,0.153,0.133,"1",0.1765,0.1,"36","D",0.0253,0.0235,0,"D",0,"D",14000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",400,110,425,374.3,116.13,103.3,1862,2142,14000,14000,14000.01,14000.01,0,0,0,0,0,0,0,25.7,14000,14000,0,0,425,400,425,400,0,0,0,0,0,0,0,0,0,1.29,0
2781073,1,"2013","2012",0,0,0,"1",-0.0765,-0.0765,"05","D",0,0,0,"D",0,"D",0,"D",0,"D",29,"D",0,"D",0,"D",0,"D",6216,"D",0,"D",3,"D",0,"D",0,"D",12,"D",0,0,0,0,0,0,0,0,29,29,29.01,29.01,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,3841,3906,15,15,0,0,0,0,0,0,0
2781083,1,"2013","2012",1,0.153,0.133,"2",0.3897,0.3897,"15","D",0.0509,0.0509,1,"D",0,"D",35000,"D",0,"D",0,"D",0,"D",12000,"D",0,"D",0,"D",2400,"D",1500,"D",0,"D",0,"D",0,"D",1024,784,1199.56,847.47,705.44,862.68,4655,5355,39500,39500,35000.01,35000.01,0,0,0,0,0,0,420.44,592.53,39500,39500,0,0,1620,1440,1620,1440,0,0,0,0,0,0,0,0,27.96,41.72,0
2781103,1,"2013","2012",0,0.153,0.133,"2",0.2775,0.2775,"50","D",0.0699,0.0779,2,"D",2,"D",0,"D",32752,"D",259,"D",9968,"D",31063,"D",0,"D",0,"D",4800,"D",90,"D",0,"D",0,"D",0,"D",5001,1169,5056.94,4944.44,1221.46,1116.81,4356.02,5011.06,61312.93,61312.93,42979.01,42979.01,0,0,0,0,0,0,0,0,61312.93,61312.93,0,0,5056.94,4944.44,5056.94,4944.44,13046.59,13285.1,0,0,0,0,0,0,0,0,0
2781133,1,"2013","2012",0,0,0,"1",-0.0765,-0.0765,"38","D",-0.0046,-0.0046,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",7523,"D",0,"D",1800,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025.4,2080.01,0,0,0,0,0,0,0,0,0
2781173,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"33","D",-0.12,-0.12,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,-200,0,0,-200,-200,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,10800,0,0,0,0,0,0,0,0,0
2781183,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"24","D",0.087,0.087,0,"D",0,"D",24000,"D",33786,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2800,"D",120,"D",0,"D",0,"D",0,"D",4824,1564,4872.9,4775.4,1574.6,1553.75,7685.54,8841.26,57786,57786,57786.01,57786.01,0,0,0,0,0,0,0,0,57786,57786,0,0,4872.9,4775.4,4872.9,4775.4,11900,12200,0,0,586.53,586.53,0,0,0,0,0
