"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2742574,1,"2013","2012",0,0.0502,0.0468,"2",0.28,0.28,"10","D",0,0,0,"D",0,"D",36502,"D",176697,"D",18379,"D",0,"D",0,"D",0,"D",0,"D",4400,"D",30,"D",0,"D",0,"D",0,"D",46972,0,47160.84,46707.34,0,0,21429.38,24807.82,231578,231578,0,0,0,0,0,0,0,0,0,0,231578,231578,0,0,47160.84,46707.34,47160.84,46707.34,0,0,0,0,0,0,0,0,0,0,0
2742614,1,"2013","2012",0,0.153,0.133,"2",0.1414,0.1414,"47","D",0.0575,0.0575,0,"D",0,"D",60881,"D",29894,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2000,"D",430,"D",0,"D",0,"D",9188,"D",9252,3930,9274.11,9221.61,3929.58,3929.58,12073.08,13888.57,90775,90775,90775.01,90775.01,0,0,0,0,0,0,0,0,81587,81587,0,0,9274.11,9221.61,9274.11,9221.61,6000,6000,11618,11618,0,0,0,0,0,0,0
2742634,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"33","D",0.0645,0.0645,0,"D",0,"D",27374,"D",35422,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1500,"D",0,"D",0,"D",0,"D",3592,"D",5584,2430,5624.4,5526.9,2448.84,2404.66,8351.87,9607.79,62796,62796,62796.01,62796.01,0,0,0,0,0,0,0,0,62796,62796,0,0,5624.4,5526.9,5624.4,5526.9,15000,15400,0,0,0,0,0,0,0,0,0
2742644,1,"2013","2012",1,0.029,0.029,"2",0.2375,0.2375,"45","D",0.05,0.05,0,"D",0,"D",0,"D",176697,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1200,"D",440,"D",0,"D",0,"D",16608,"D",26498,8835,26613.54,26336.04,8834.85,8834.85,16574.61,19223.01,176697,176697,176697.01,176697.01,0,0,0,0,0,0,0,0,160089,160089,0,0,26613.54,26336.04,26613.54,26336.04,0,0,0,0,0,0,0,0,0,0,0
2742654,1,"2013","2012",0,0.153,0.133,"2",0.2765,0.2765,"23","D",0.1815,0.1823,2,"D",2,"D",35000,"D",0,"D",2152,"D",7680,"D",35710,"D",0,"D",0,"D",4100,"D",305,"D",0,"D",0,"D",9976,"D",5685,868,5707.51,5654.36,884.8,845.21,4655,5355,66715.95,66715.95,37152.01,37152.01,0,0,0,0,0,0,0,0,56739.95,56739.95,0,0,5707.51,5654.36,5707.51,5654.36,0,0,0,0,398,398,0,0,0,0,0
2742664,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"31","D",0.014,0.014,0,"D",0,"D",20660,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4540,"D",0,"D",0,"D",0,"D",0,"D",1181,212,1201.5,1152.75,211.68,211.68,2747.78,3160.98,20660,20660,20660.01,20660.01,0,0,0,0,0,0,0,0,20660,20660,0,0,1201.5,1152.75,1201.5,1152.75,0,0,0,0,0,0,0,0,0,0,0
2742674,1,"2013","2012",2,0,0,"3",0.15,0.15,"44","D",0,0,0,"D",0,"D",0,"D",0,"D",15400,"D",29000,"D",0,"D",0,"D",0,"D",170,"D",0,"D",0,"D",0,"D",0,"D",2983,0,3025,2925,0,0,0,0,44400,44400,0,0,0,0,0,0,0,0,0,0,44400,44400,0,0,3025,2925,3025,2925,0,0,0,0,0,0,0,0,0,0,0
2742704,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"10","D",0,0,0,"D",0,"D",44655,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",890,"D",0,"D",0,"D",0,"D",3428,"D",4780,0,4800.75,4752,0,0,5939.12,6832.21,44655,44655,0,0,0,0,0,0,0,0,0,0,44655,44655,0,0,4800.75,4752,4800.75,4752,0,0,0,0,0,0,0,0,0,0,0
2742744,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"33","D",-0.118,-0.118,0,"D",0,"D",0,"D",0,"D",0,"D",1100,"D",0,"D",0,"D",0,"D",5100,"D",0,"D",0,"D",0,"D",0,"D",0,-275,0,0,-274.8,-274.8,0,0,1100,1100,1100.01,1100.01,0,0,0,0,0,0,0,0,1100,1100,0,0,0,0,0,0,10500,10800,0,0,74.8,74.8,0,0,0,0,0
2742754,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3000,"D",0,"D",0,"D",0,"D",3721,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2742784,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"12","D",0.076,0.076,0,"D",0,"D",29016,"D",0,"D",0,"D",0,"D",0,"D",0,"D",15600,"D",0,"D",118,"D",0,"D",0,"D",40,"D",2435,1399,2454.9,2406.15,1408.78,1385.67,3859.13,4439.45,29016,29016,29016.01,29016.01,0,0,0,0,0,0,0,0,29016,29016,0,0,2454.9,2406.15,2454.9,2406.15,2000,2200,1566.78,1543.67,0,0,0,0,0,0,0
2742804,1,"2013","2012",2,0.153,0.133,"3",0.3106,0.3106,"22","D",0.0841,0.0811,0,"D",0,"D",29000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6000,"D",0,"D",135,"D",0,"D",1,"D",0,"D",-2957,7,-2839.86,-3121.42,29.5,-23.46,3857,4437,29000,29000,29000.01,29000.01,890,835,110,165,0,0,2729.86,2956.42,29000,29000,0,0,890,835,890,835,0,0,0,0,0,0,0,0,409.48,443.46,0
2742815,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"0","T",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",9840,"D",0,"D",0,"D",0,"D",0,"D",1188,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2742844,1,"2013","2012",3,0,0,"3",-0.45,-0.45,"23","D",0.0115,0.0024,0,"D",0,"D",0,"D",0,"D",0,"D",13850,"D",0,"D",0,"D",0,"D",1200,"D",0,"D",0,"D",0,"D",2908,"D",0,-574,0,0,-525.66,-640.74,0,0,13850,13850,13850.01,13850.01,0,0,0,0,0,0,0,0,13850,13850,0,0,0,0,0,0,0,0,0,0,429.13,429.13,0,0,0,0,0
