"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2780965,1,"2012","2011",0,0,0,"1",0,0,"11","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",400,"D",13259,"D",0,"D",0,"D",1200,"D",9,"D",0,"D",0,"D",2932,"D",0,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,0,0,0,0,400,400,0,0,0,0,0,0,3600,3600,0,0,0,0,0,0,0,0,0
2780995,1,"2012","2011",0,0,0,"1",0,0,"36","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",6299,"D",0,"D",4800,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781015,1,"2012","2011",0,0.133,0.133,"2",0.25,0.25,"23","D",0.0433,0.0435,0,"D",0,"D",60834,"D",50000,"D",-12000,"D",0,"D",0,"D",0,"D",0,"D",1400,"D",200,"D",0,"D",0,"D",0,"D",12209,3977,12208.5,11893.5,3977.38,3953.64,14740.92,14740.92,98834,98834,98834.01,98834.01,0,0,0,0,0,0,0,0,98834,98834,0,0,12208.5,11893.5,12208.5,11893.5,0,0,0,0,0,0,0,0,0,0,0
2781025,1,"2012","2011",1,0.133,0.133,"2",0.1395,0.1395,"41","D",0.07,0.07,0,"D",0,"D",35000,"D",67000,"D",-13400,"D",0,"D",0,"D",0,"D",0,"D",2600,"D",2095,"D",0,"D",1,"D",9696,"D",7056,3738,7055.59,6994.78,3738.43,3710.49,13566,13566,88600,88600,59370.58,59098.52,1000,1000,0,0,0,0,0,0,78904,78904,0,0,8055.59,7994.78,8055.59,7994.78,0,0,0,0,0,0,0,0,0,0,0
2781065,1,"2012","2011",0,0.133,0.133,"1",0.25,0.25,"39","D",0.0307,0.0307,0,"D",0,"D",68000,"D",0,"D",2267,"D",0,"D",0,"D",0,"D",19200,"D",0,"D",0,"D",0,"D",0,"D",0,"D",11317,2157,11316.75,11159.25,2157.2,2157.2,9044,9044,70267,70267,70267.01,70267.01,0,0,0,0,0,0,0,0,70267,70267,0,0,11316.75,11159.25,11316.75,11159.25,0,0,0,0,0,0,0,0,0,0,0
2781065,2,"2012","2011",0,0.133,0.133,"1",0.25,0.25,"39","D",0.0307,0.0307,0,"D",0,"D",71875,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",11719,2207,11718.75,11561.25,2206.56,2206.56,9559.38,9559.38,71875,71875,71875.01,71875.01,0,0,0,0,0,0,0,0,71875,71875,0,0,11718.75,11561.25,11718.75,11561.25,0,0,0,0,0,0,0,0,0,0,0
2781065,3,"2012","2011",0,0.133,0.133,"1",0.15,0.15,"39","D",0.0307,0.0307,0,"D",0,"D",22844,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1577,701,1576.6,1529.1,701.31,701.31,3038.25,3038.25,22844,22844,22844.01,22844.01,0,0,0,0,0,0,0,0,22844,22844,0,0,1576.6,1529.1,1576.6,1529.1,0,0,0,0,0,0,0,0,0,0,0
2781075,1,"2012","2011",1,0,0,"3",-0.34,-0.34,"05","D",0,0,0,"D",0,"D",0,"D",0,"D",29,"D",0,"D",0,"D",0,"D",6216,"D",0,"D",2,"D",0,"D",0,"D",0,"D",0,0,0,0,0,0,0,0,29,29,29.01,29.01,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,7538,7682,2,2,0,0,0,0,0,0,0
2781085,1,"2012","2011",0,0.133,0.133,"2",0.2775,0.2775,"15","D",0.034,0.034,0,"D",0,"D",40000,"D",0,"D",0,"D",0,"D",16320,"D",0,"D",6000,"D",2400,"D",1500,"D",0,"D",0,"D",400,"D",3730,1108,3730.4,3635.4,1108.4,886.4,5320,5320,49536,49536,40000.01,40000.01,0,0,0,0,0,0,0,0,49536,49536,0,0,3730.4,3635.4,3730.4,3635.4,0,0,0,0,0,0,0,0,0,0,0
2781105,1,"2012","2011",0,0.133,0.133,"2",0.15,0.15,"50","D",0,0.0551,2,"D",1,"D",0,"D",18125,"D",1432,"D",5040,"D",27291,"D",0,"D",0,"D",4800,"D",130,"D",0,"D",0,"D",0,"D",757,23,756.83,591.83,23.32,0,2410.63,2410.63,27718.25,27718.25,24597.01,24597.01,0,0,0,0,0,0,0,0,27718.25,27718.25,0,0,756.83,591.83,756.83,591.83,15918.38,16681.63,0,0,0,0,0,0,0,0,0
