"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2647395,1,"2013","2012",1,0.153,0.133,"2",0.3,0.3,"0","T",0,0,0,"D",0,"D",73000,"D",56000,"D",210,"D",0,"D",0,"D",0,"D",0,"D",1000,"D",361,"D",0,"D",1,"D",60,"D",18498,0,18498,18145.5,0,0,17157,19737,129210,129210,0,0,39.5,39.5,0,0,0,0,0,0,129210,129210,0,0,18537.5,18185,18537.5,18185,0,0,0,0,0,0,0,0,0,0,0
2647435,1,"2013","2012",0,0.153,0.133,"2",0.15,0.15,"41","D",0.07,0.07,0,"D",0,"D",45000,"D",0,"D",0,"D",0,"D",3298,"D",0,"D",0,"D",1000,"D",1697,"D",0,"D",0,"D",3600,"D",3376,1309,3375.5,3278,1308.86,1265.5,5985,6885,47803.3,47803.3,25500.01,25000.01,0,0,0,0,0,0,0,0,47803.3,47803.3,0,0,3375.5,3278,3375.5,3278,0,0,0,0,0,0,0,0,0,0,0
2647445,1,"2013","2012",0,0,0,"1",0,0,"45","D",0,0,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",9803,"D",0,"D",0,"D",1400,"D",688,"D",0,"D",0,"D",5880,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2647475,1,"2013","2012",0,0,0,"1",0,0,"23","D",0.035,0.035,1,"D",1,"D",0,"D",0,"D",0,"D",0,"D",15659,"D",0,"D",0,"D",1700,"D",75,"D",0,"D",0,"D",0,"D",0,-1152,0,0,-1151.9,-1151.9,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151.9,1151.9,0,0,0,0,0
2647485,1,"2013","2012",2,0,0,"3",-0.4,-0.4,"05","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",6500,"D",0,"D",0,"D",0,"D",10449,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7682,7812,16949,16949,0,0,0,0,0,0,0
2647505,1,"2013","2012",1,0.029,0.029,"2",0.25,0.25,"30","D",0,0,0,"D",0,"D",0,"D",115885,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3400,"D",2075,"D",0,"D",0,"D",4492,"D",15206,0,15206.25,14853.75,0,0,14811.07,17459.46,115885,115885,0,0,0,0,0,0,0,0,0,0,115885,115885,0,0,15206.25,14853.75,15206.25,14853.75,0,0,0,0,0,0,0,0,0,0,0
2647575,1,"2013","2012",3,0,0,"3",-0.45,-0.45,"38","D",-0.027,-0.027,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",11160,"D",0,"D",0,"D",0,"D",1,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3260.4,3348.31,0,0,0,0,0,0,0,0,0
2647585,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"15","D",0.034,0.034,0,"D",0,"D",20659,"D",0,"D",8,"D",0,"D",0,"D",0,"D",0,"D",1400,"D",212,"D",0,"D",0,"D",2640,"D",1203,510,1202.55,1153.8,510.08,621.08,2747.65,3160.83,20667,20667,20667.01,20667.01,0,0,0,0,0,0,0,0,20667,20667,0,0,1202.55,1153.8,1202.55,1153.8,0,0,0,0,0,0,0,0,0,0,0
2647595,1,"2013","2012",0,0.153,0.133,"1",0.15,0.15,"05","D",0.06,0.06,0,"D",0,"D",39966,"D",0,"D",0,"D",0,"D",0,"D",0,"D",18000,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4097,1077,4097.4,4048.65,1077.49,1054.83,5315.48,6114.8,39966,39966,39966.01,39966.01,0,0,0,0,0,0,0,0,39966,39966,0,0,4097.4,4048.65,4097.4,4048.65,3841,3906,0,0,0,0,0,0,0,0,0
2647625,1,"2013","2012",1,0.029,0.029,"2",0.28,0.33,"44","D",0,0,0,"D",0,"D",0,"D",236697,"D",10000,"D",0,"D",0,"D",0,"D",0,"D",3360,"D",5791,"D",0,"D",1,"D",360,"D",50628,0,50627.51,49848.66,0,0,18314.61,20963.01,246697,246697,0,0,0,0,0,0,0,0,0,0,246697,246697,0,0,50627.51,49848.66,50627.51,49848.66,0,0,0,0,0,0,0,0,0,0,0
