"NEWID","TAX_UNIT","TAXYR_CY","TAXYR_PY","DEPCNT","FICAR_CY","FICAR_PY","FILESTAT","FRATE_CY","FRATE_PY","SOI_ST","SOI_ST_","SRATE_CY","SRATE_PY","T65CT_CY","T65C__CY","T65CT_PY","T65C__PY","WAGE_HD","WAGE_HD_","WAGE_SP","WAGE_SP_","OTHTXINC","OTHT_INC","TAXPENS","TAXPENS_","SOSSECB","SOSSECB_","NONTXINC","NONT_INC","RNTPAID","RNTPAID_","PROPTXPD","PROP_XPD","AMTDEDCT","AMTD_DCT","CHLDCARE","CHLD_ARE","DEPUND17","DEPU_D17","OTHDEDCT","OTHD_DCT","FTAXOWE","STAXOWE","FTAXO_PY","FTAXO_CY","STAXO_PY","STAXO_CY","FICA_PY","FICA_CY","FDAGI_PY","FDAGI_CY","STAGI_PY","STAGI_CY","CHDTX_PY","CHDTX_CY","ADDTX_PY","ADDTX_CY","DPCAR_PY","DPCAR_CY","EITCR_PY","EITCR_CY","AMTIN_PY","AMTIN_CY","AMTOW_PY","AMTOW_CY","FRGTX_PY","FRGTX_CY","FTXBC_PY","FTXBC_CY","SSTDD_PY","SSTDD_CY","SITDD_PY","SITDD_CY","SPRCR_PY","SPRCR_CY","SDCAR_PY","SDCAR_CY","SEITC_PY","SEITC_CY","DIVINC"
2747445,1,"2013","2012",0,0.153,0.133,"1",0.1,0.1,"31","D",0.014,0.014,1,"D",1,"D",12594,"D",0,"D",0,"D",0,"D",0,"D",0,"D",10800,"D",0,"D",0,"D",0,"D",0,"D",0,"D",117,-627,139.4,109.4,-626.68,-626.68,1675,1926.88,12594,12594,12594.01,12594.01,0,0,0,0,0,0,0,0,12594,12594,0,0,139.4,109.4,139.4,109.4,0,0,0,0,0,0,0,0,0,0,0
2747455,1,"2013","2012",3,0.0627,0.0572,"2",0.2356,0.325,"47","D",0.0575,0.057,0,"D",0,"D",138000,"D",51454,"D",3146,"D",0,"D",0,"D",0,"D",0,"D",6000,"D",3642,"D",0,"D",2,"D",18564,"D",26019,8668,26336.7,25913.43,8661.76,8670.28,22295.78,25973.26,192600,192600,192600.01,192600.01,0,0,0,0,0,0,0,0,174036,174036,93.64,0,26243.06,25913.43,26243.06,25913.43,6000,6000,28354.2,28206,0,0,0,0,0,0,0
2747475,1,"2013","2012",3,0.153,0.133,"2",0.15,0.15,"19","D",0.034,0.034,0,"D",0,"D",60252,"D",23516,"D",6638,"D",0,"D",10092,"D",0,"D",0,"D",0,"D",20,"D",0,"D",2,"D",4964,"D",7236,2587,7342.63,7200.13,2582.53,2588.23,11141.14,12816.5,98984.2,98984.2,90406.01,90406.01,2000,2000,0,0,0,0,0,0,98984.2,98984.2,0,0,9342.63,9200.13,9342.63,9200.13,0,0,0,0,0,0,0,0,0,0,0
2747505,1,"2013","2012",0,0.153,0.133,"1",0.1458,0.1458,"03","D",0.028,0.028,0,"D",0,"D",38122,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",4500,"D",6173,"D",0,"D",0,"D",4228,"D",2374,563,2393.76,2367.51,563.08,563.08,5070.23,5832.67,38122,38122,38122.01,38122.01,0,0,0,0,0,0,0,0,33894,33894,0,0,2393.76,2367.51,2393.76,2367.51,4833,4945,15463.6,15463.6,0,0,0,0,0,0,0
2747515,1,"2013","2012",0,0,0,"2",0.2775,0.2775,"05","D",0,0,2,"D",2,"D",0,"D",0,"D",0,"D",32628,"D",28138,"D",0,"D",0,"D",3100,"D",420,"D",0,"D",0,"D",0,"D",1914,0,1998.07,1885.57,0,0,0,0,40920.45,40920.45,32628.01,32628.01,0,0,0,0,0,0,0,0,40920.45,40920.45,0,0,1998.07,1885.57,1998.07,1885.57,7682,7812,3520,3520,0,0,0,0,0,0,0
2747525,1,"2013","2012",0,0.153,0.133,"2",0.1397,0.1397,"28","D",0.0684,0.0684,0,"D",0,"D",600,"D",5500,"D",-350,"D",78000,"D",0,"D",0,"D",0,"D",5000,"D",913,"D",0,"D",0,"D",7592,"D",8037,3002,8070.9,8025.88,3038.98,2989.16,811.3,933.3,83750,83750,83750.01,83750.01,0,0,0,0,0,0,0,0,76158,76158,0,0,8070.9,8025.88,8070.9,8025.88,11900,12200,13505,13505,0,0,0,0,0,0,0
2747555,1,"2013","2012",3,0.153,0.133,"2",0.3106,0.3106,"06","D",0.0463,0.0463,0,"D",0,"D",17244,"D",23332,"D",0,"D",0,"D",0,"D",0,"D",0,"D",2200,"D",1,"D",0,"D",1,"D",2872,"D",-2339,420,-2074.47,-2427.52,448,410.96,5396.61,6208.13,40576,40576,0,0,967.6,887.6,32.4,112.4,0,0,2042.07,2315.12,40576,40576,0,0,967.6,887.6,967.6,887.6,0,0,0,0,0,0,0,0,0,0,0
2747555,2,"2013","2012",3,0,0,"3",-0.45,-0.45,"06","D",0,0,0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",0,"D",1,"D",0,"D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2747565,1,"2013","2012",1,0.153,0.133,"3",0.2598,0.2598,"48","D",0,0,0,"D",0,"D",23000,"D",0,"D",60,"D",0,"D",0,"D",0,"D",0,"D",1100,"D",112,"D",0,"D",0,"D",4992,"D",-1687,0,-1540.59,-1735.31,0,0,3059,3519,23060,23060,0,0,0,0,0,0,0,0,2216.59,2366.31,23060,23060,0,0,676,631,676,631,0,0,0,0,0,0,0,0,0,0,0
2747575,1,"2013","2012",1,0.153,0.133,"3",0.2598,0.2598,"26","D",0.06,0.06,0,"D",0,"D",26800,"D",0,"D",0,"D",0,"D",0,"D",0,"D",3444,"D",0,"D",70,"D",0,"D",1,"D",80,"D",-1715,568,-1568.94,-1763.65,579,564,3564.4,4100.4,26800,26800,26800.01,26800.01,1000,1000,0,0,0,0,1618.94,1768.65,26800,26800,0,0,1050,1005,1050,1005,8700,8950,0,0,0,0,0,0,0,0,0
