"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
2825452,"950012",1159,,"1"
2825452,"980000",40256,,"1"
2825452,"980010",2,,"1"
2825452,"980020",57,,"1"
2825452,"980030",1,,"1"
2825452,"980040",1,,"1"
2825452,"980070",36387,,"1"
2825452,"980090",100,,"1"
2825452,"980220",100,,"1"
2825452,"980240",100,,"1"
2825452,"980281",100,,"1"
2825452,"980286",100,,"1"
2825452,"980310",100,,"1"
2825452,"980330",100,,"1"
2825461,"900000",97000,,"1"
2825461,"950001",-6000,,"1"
2825461,"980000",97000,,"1"
2825461,"980010",4,,"1"
2825461,"980020",32,,"1"
2825461,"980030",2,,"1"
2825461,"980040",2,,"1"
2825461,"980050",2,,"1"
2825461,"980070",103000,,"1"
2825461,"980090",100,,"1"
2825461,"980220",100,,"1"
2825461,"980230",100,,"1"
2825461,"980281",100,,"1"
2825461,"980286",100,,"1"
2825461,"980310",100,,"1"
2825461,"980330",100,,"1"
2825462,"900000",97000,,"1"
2825462,"950001",-6000,,"1"
2825462,"980000",97000,,"1"
2825462,"980010",4,,"1"
2825462,"980020",32,,"1"
2825462,"980030",2,,"1"
2825462,"980040",2,,"1"
2825462,"980050",2,,"1"
2825462,"980070",103000,,"1"
2825462,"980090",100,,"1"
2825462,"980220",100,,"1"
2825462,"980230",100,,"1"
2825462,"980281",100,,"1"
2825462,"980286",100,,"1"
2825462,"980310",100,,"1"
2825462,"980330",100,,"1"
2825471,"900000",2048,,"1"
2825471,"900150",756,,"1"
2825471,"900170",27600,,"1"
2825471,"950001",-1478,,"1"
2825471,"950013",7,,"1"
2825471,"980000",30404,,"1"
2825471,"980010",2,,"1"
2825471,"980020",60,,"1"
2825471,"980030",1,,"1"
2825471,"980070",31875,,"1"
2825471,"980220",100,,"1"
2825471,"980260",100,,"1"
2825471,"980281",100,,"1"
2825471,"980286",100,,"1"
2825471,"980310",100,,"1"
2825472,"900000",2048,,"1"
2825472,"900150",756,,"1"
2825472,"900170",27600,,"1"
2825472,"950001",-1478,,"1"
2825472,"950013",7,,"1"
2825472,"980000",30404,,"1"
2825472,"980010",2,,"1"
2825472,"980020",60,,"1"
2825472,"980030",1,,"1"
2825472,"980070",31875,,"1"
2825472,"980220",100,,"1"
2825472,"980260",100,,"1"
2825472,"980281",100,,"1"
2825472,"980286",100,,"1"
2825472,"980310",100,,"1"
2825491,"900000",20750,,"1"
2825491,"950001",-4000,,"1"
2825491,"950011",-600,,"1"
2825491,"980000",20750,,"1"
2825491,"980010",2,,"1"
2825491,"980020",30,,"1"
2825491,"980030",2,,"1"
2825491,"980040",1,,"1"
2825491,"980070",25350,,"1"
2825491,"980090",100,,"1"
2825491,"980210",100,,"1"
2825491,"980230",100,,"1"
2825491,"980270",100,,"1"
2825491,"980286",100,,"1"
2825491,"980310",100,,"1"
2825491,"980330",100,,"1"
2825492,"900000",20750,,"1"
2825492,"950001",-4000,,"1"
2825492,"950011",-600,,"1"
2825492,"980000",20750,,"1"
2825492,"980010",2,,"1"
2825492,"980020",30,,"1"
2825492,"980030",2,,"1"
2825492,"980040",1,,"1"
2825492,"980070",25350,,"1"
2825492,"980090",100,,"1"
2825492,"980210",100,,"1"
2825492,"980230",100,,"1"
2825492,"980281",100,,"1"
2825492,"980286",100,,"1"
2825492,"980310",100,,"1"
2825492,"980330",100,,"1"
2825501,"900030",16661,,"1"
2825501,"900140",14462,,"1"
2825501,"980000",31123,,"1"
2825501,"980010",1,,"1"
2825501,"980020",44,,"1"
2825501,"980070",31123,,"1"
2825501,"980220",100,,"1"
2825501,"980260",100,,"1"
2825501,"980281",100,,"1"
2825501,"980286",100,,"1"
2825501,"980310",100,,"1"
2825502,"900030",14964,,"1"
2825502,"900140",1884,,"1"
2825502,"980000",16848,,"1"
2825502,"980010",1,,"1"
2825502,"980020",44,,"1"
2825502,"980070",16848,,"1"
2825502,"980220",100,,"1"
2825502,"980260",100,,"1"
2825502,"980281",100,,"1"
2825502,"980286",100,,"1"
2825502,"980310",100,,"1"
2825531,"900000",92185,,"1"
2825531,"980000",92185,,"1"
2825531,"980010",3,,"1"
2825531,"980020",47,,"1"
2825531,"980030",2,,"1"
2825531,"980050",1,,"1"
2825531,"980070",92185,,"1"
2825531,"980090",100,,"1"
2825531,"980220",100,,"1"
2825531,"980250",100,,"1"
2825531,"980281",100,,"1"
2825531,"980286",100,,"1"
2825531,"980310",100,,"1"
2825541,"900000",17542,,"1"
2825541,"980000",17542,,"1"
2825541,"980010",1,,"1"
2825541,"980020",62,,"1"
2825541,"980030",1,,"1"
2825541,"980070",17542,,"1"
2825541,"980090",100,,"1"
2825541,"980220",100,,"1"
2825541,"980250",100,,"1"
2825541,"980281",100,,"1"
2825541,"980286",100,,"1"
2825541,"980310",100,,"1"
2825571,"900000",32400,,"1"
2825571,"950002",151,,"1"
2825571,"980000",32400,,"1"
2825571,"980010",5,,"1"
2825571,"980020",42,,"1"
2825571,"980030",2,,"1"
2825571,"980040",2,,"1"
2825571,"980050",3,,"1"
2825571,"980070",32249,,"1"
2825571,"980210",100,,"1"
2825571,"980260",100,,"1"
2825571,"980281",100,,"1"
2825571,"980285",100,,"1"
2825571,"980300",100,,"1"
2825571,"980330",100,,"1"
2825572,"900000",32400,,"1"
2825572,"950002",151,,"1"
2825572,"980000",32400,,"1"
2825572,"980010",5,,"1"
2825572,"980020",42,,"1"
2825572,"980030",2,,"1"
2825572,"980040",2,,"1"
2825572,"980050",3,,"1"
2825572,"980070",32249,,"1"
2825572,"980210",100,,"1"
2825572,"980260",100,,"1"
2825572,"980281",100,,"1"
2825572,"980285",100,,"1"
2825572,"980300",100,,"1"
2825572,"980330",100,,"1"
2825601,"900030",20393,,"1"
2825601,"900170",15185,,"1"
2825601,"980000",35577,,"1"
2825601,"980010",1,,"1"
2825601,"980020",62,,"1"
2825601,"980070",35577,,"1"
2825601,"980090",100,,"1"
2825601,"980210",100,,"1"
2825601,"980250",100,,"1"
2825601,"980281",100,,"1"
2825601,"980286",100,,"1"
2825601,"980310",100,,"1"
2825611,"800910",3101,,"1"
2825611,"800931",3843,,"1"
2825611,"900000",165000,,"1"
2825611,"950001",-110,,"1"
2825611,"950002",4188,,"1"
2825611,"950003",11000,,"1"
2825611,"980000",165000,,"1"
2825611,"980010",3,,"1"
2825611,"980020",46,,"1"
2825611,"980030",3,,"1"
2825611,"980040",4,,"1"
2825611,"980070",149922,,"1"
2825611,"980090",100,,"1"
2825611,"980220",100,,"1"
2825611,"980230",100,,"1"
2825611,"980281",100,,"1"
2825611,"980286",100,,"1"
2825611,"980310",100,,"1"
2825611,"980330",100,,"1"
2825612,"800910",3101,,"1"
2825612,"800931",3843,,"1"
2825612,"900000",165000,,"1"
2825612,"950001",-110,,"1"
2825612,"950002",4188,,"1"
2825612,"950003",11000,,"1"
2825612,"980000",165000,,"1"
2825612,"980010",3,,"1"
2825612,"980020",46,,"1"
2825612,"980030",3,,"1"
2825612,"980040",4,,"1"
2825612,"980070",149922,,"1"
2825612,"980090",100,,"1"
2825612,"980220",100,,"1"
2825612,"980230",100,,"1"
2825612,"980281",100,,"1"
2825612,"980286",100,,"1"
2825612,"980310",100,,"1"
2825612,"980330",100,,"1"
2825621,"900000",110292,,"1"
2825621,"900030",17872,,"1"
2825621,"980000",128164,,"1"
2825621,"980010",5,,"1"
2825621,"980020",70,,"1"
2825621,"980030",2,,"1"
2825621,"980040",2,,"1"
2825621,"980050",1,,"1"
2825621,"980060",2,,"1"
2825621,"980070",128164,,"1"
2825621,"980090",100,,"1"
2825621,"980210",100,,"1"
2825621,"980230",100,,"1"
2825621,"980283",100,,"1"
2825621,"980286",100,,"1"
2825621,"980310",100,,"1"
2825621,"980330",100,,"1"
2825622,"900000",115789,,"1"
2825622,"900030",18575,,"1"
2825622,"980000",134364,,"1"
2825622,"980010",5,,"1"
2825622,"980020",70,,"1"
2825622,"980030",2,,"1"
2825622,"980040",2,,"1"
2825622,"980050",1,,"1"
2825622,"980060",2,,"1"
2825622,"980070",134364,,"1"
2825622,"980090",100,,"1"
2825622,"980210",100,,"1"
2825622,"980230",100,,"1"
2825622,"980283",100,,"1"
2825622,"980286",100,,"1"
2825622,"980310",100,,"1"
2825622,"980330",100,,"1"
2825662,"900000",85000,,"1"
2825662,"980000",85000,,"1"
2825662,"980010",4,,"1"
2825662,"980020",47,,"1"
2825662,"980030",1,,"1"
2825662,"980040",2,,"1"
2825662,"980050",2,,"1"
2825662,"980070",85000,,"1"
2825662,"980090",100,,"1"
2825662,"980220",100,,"1"
2825662,"980230",100,,"1"
2825662,"980281",100,,"1"
2825662,"980286",100,,"1"
2825662,"980310",100,,"1"
2825662,"980330",100,,"1"
2825681,"900000",9138,,"1"
2825681,"900090",9636,,"1"
2825681,"900150",2280,,"1"
2825681,"980000",21054,,"1"
2825681,"980010",2,,"1"
2825681,"980020",60,,"1"
2825681,"980030",1,,"1"
2825681,"980070",21054,,"1"
2825681,"980220",100,,"1"
2825681,"980260",100,,"1"
2825681,"980281",100,,"1"
2825681,"980285",100,,"1"
2825681,"980290",100,,"1"
2825682,"900000",9951,,"1"
2825682,"900090",9636,,"1"
2825682,"900150",2280,,"1"
2825682,"980000",21867,,"1"
2825682,"980010",2,,"1"
2825682,"980020",60,,"1"
