"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
3011281,"800931",37989,"T","1"
3011281,"800940",10967,"T","1"
3011281,"900000",148500,,"1"
3011281,"900160",40000,,"1"
3011281,"900180",150,,"1"
3011281,"950003",6800,,"1"
3011281,"950013",3300,,"1"
3011281,"980000",188650,,"1"
3011281,"980010",4,,"1"
3011281,"980020",48,,"1"
3011281,"980030",2,,"1"
3011281,"980040",1,,"1"
3011281,"980050",2,,"1"
3011281,"980070",178550,,"1"
3011281,"980090",100,,"1"
3011281,"980220",100,,"1"
3011281,"980230",100,,"1"
3011281,"980281",100,,"1"
3011281,"980286",100,,"1"
3011281,"980310",100,,"1"
3011281,"980330",100,,"1"
3011282,"800931",37989,"T","1"
3011282,"800940",10967,"T","1"
3011282,"900000",148500,,"1"
3011282,"900160",40000,,"1"
3011282,"900180",150,,"1"
3011282,"950003",6800,,"1"
3011282,"950013",3300,,"1"
3011282,"980000",188650,,"1"
3011282,"980010",4,,"1"
3011282,"980020",48,,"1"
3011282,"980030",2,,"1"
3011282,"980040",1,,"1"
3011282,"980050",2,,"1"
3011282,"980070",178550,,"1"
3011282,"980090",100,,"1"
3011282,"980220",100,,"1"
3011282,"980230",100,,"1"
3011282,"980281",100,,"1"
3011282,"980286",100,,"1"
3011282,"980310",100,,"1"
3011282,"980330",100,,"1"
3011291,"800710",1200,,"1"
3011291,"900000",23273,,"1"
3011291,"900030",13677,,"1"
3011291,"980000",36949,,"1"
3011291,"980010",1,,"1"
3011291,"980020",75,,"1"
3011291,"980030",1,,"1"
3011291,"980040",1,,"1"
3011291,"980060",1,,"1"
3011291,"980070",36949,,"1"
3011291,"980210",100,,"1"
3011291,"980260",100,,"1"
3011291,"980281",100,,"1"
3011291,"980286",100,,"1"
3011291,"980310",100,,"1"
3011291,"980330",100,,"1"
3011292,"800710",1200,,"1"
3011292,"900000",16136,,"1"
3011292,"900030",12109,,"1"
3011292,"980000",28245,,"1"
3011292,"980010",1,,"1"
3011292,"980020",75,,"1"
3011292,"980030",1,,"1"
3011292,"980040",1,,"1"
3011292,"980060",1,,"1"
