"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980070",77797,"1",2825421,"1",
"980070",84730,"2",2825421,"1",
"980070",81256,"3",2825421,"1",
"980070",77699,"4",2825421,"1",
"980070",70085,"5",2825421,"1",
"900000",76617,"1",2825422,"1",
"900000",77613,"2",2825422,"1",
"900000",88635,"3",2825422,"1",
"900000",78146,"4",2825422,"1",
"900000",71952,"5",2825422,"1",
"980000",76617,"1",2825422,"1",
"980000",77613,"2",2825422,"1",
"980000",88635,"3",2825422,"1",
"980000",78146,"4",2825422,"1",
"980000",71952,"5",2825422,"1",
"980070",76617,"1",2825422,"1",
"980070",77613,"2",2825422,"1",
"980070",88635,"3",2825422,"1",
"980070",78146,"4",2825422,"1",
"980070",71952,"5",2825422,"1",
"900150",2496,"1",2825441,"1",
"900150",1500,"2",2825441,"1",
"900150",2460,"3",2825441,"1",
"900150",1644,"4",2825441,"1",
"900150",2412,"5",2825441,"1",
"980000",2496,"1",2825441,"1",
"980000",1500,"2",2825441,"1",
"980000",2460,"3",2825441,"1",
"980000",1644,"4",2825441,"1",
"980000",2412,"5",2825441,"1",
"980070",2496,"1",2825441,"1",
"980070",1500,"2",2825441,"1",
"980070",2460,"3",2825441,"1",
"980070",1644,"4",2825441,"1",
"980070",2412,"5",2825441,"1",
"900140",223,"1",2825442,"1",
"900140",3720,"2",2825442,"1",
"900140",1483,"3",2825442,"1",
"900140",1080,"4",2825442,"1",
"900140",233,"5",2825442,"1",
"980000",223,"1",2825442,"1",
"980000",3720,"2",2825442,"1",
"980000",1483,"3",2825442,"1",
"980000",1080,"4",2825442,"1",
"980000",233,"5",2825442,"1",
"980070",223,"1",2825442,"1",
"980070",3720,"2",2825442,"1",
"980070",1483,"3",2825442,"1",
"980070",1080,"4",2825442,"1",
"980070",233,"5",2825442,"1",
"900000",38000,"1",2825451,"1",
"900000",38000,"2",2825451,"1",
"900000",38000,"3",2825451,"1",
"900000",38000,"4",2825451,"1",
"900000",38000,"5",2825451,"1",
"900090",741,"1",2825451,"1",
"900090",741,"2",2825451,"1",
"900090",741,"3",2825451,"1",
"900090",741,"4",2825451,"1",
"900090",741,"5",2825451,"1",
"900150",1500,"1",2825451,"1",
"900150",1500,"2",2825451,"1",
"900150",1500,"3",2825451,"1",
"900150",1500,"4",2825451,"1",
"900150",1500,"5",2825451,"1",
"900180",15,"1",2825451,"1",
"900180",15,"2",2825451,"1",
"900180",15,"3",2825451,"1",
"900180",15,"4",2825451,"1",
"900180",15,"5",2825451,"1",
"950002",4710,"1",2825451,"1",
"950002",4710,"2",2825451,"1",
"950002",4710,"3",2825451,"1",
"950002",4710,"4",2825451,"1",
"950002",4710,"5",2825451,"1",
"950012",1159,"1",2825451,"1",
"950012",1159,"2",2825451,"1",
"950012",1159,"3",2825451,"1",
"950012",1159,"4",2825451,"1",
"950012",1159,"5",2825451,"1",
"980000",40256,"1",2825451,"1",
"980000",40256,"2",2825451,"1",
"980000",40256,"3",2825451,"1",
"980000",40256,"4",2825451,"1",
"980000",40256,"5",2825451,"1",
"980070",36387,"1",2825451,"1",
"980070",36387,"2",2825451,"1",
"980070",36387,"3",2825451,"1",
"980070",36387,"4",2825451,"1",
"980070",36387,"5",2825451,"1",
"900000",38000,"1",2825452,"1",
"900000",38000,"2",2825452,"1",
"900000",38000,"3",2825452,"1",
"900000",38000,"4",2825452,"1",
