"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
2933752,"900000",29000,,"1"
2933752,"950001",-500,,"1"
2933752,"950011",-1200,,"1"
2933752,"980000",29000,,"1"
2933752,"980010",4,,"1"
2933752,"980020",28,,"1"
2933752,"980030",2,,"1"
2933752,"980040",2,,"1"
2933752,"980050",2,,"1"
2933752,"980070",30700,,"1"
2933752,"980090",100,,"1"
2933752,"980220",100,,"1"
2933752,"980230",100,,"1"
2933752,"980281",100,,"1"
2933752,"980286",100,,"1"
2933752,"980310",100,,"1"
2933752,"980330",100,,"1"
2933771,"900000",36832,,"1"
2933771,"900150",6672,,"1"
2933771,"980000",43504,,"1"
2933771,"980010",4,,"1"
2933771,"980020",35,,"1"
2933771,"980030",2,,"1"
2933771,"980050",2,,"1"
2933771,"980070",43504,,"1"
2933771,"980220",100,,"1"
2933771,"980260",100,,"1"
2933771,"980270",100,,"1"
2933771,"980286",100,,"1"
2933771,"980300",100,,"1"
2933772,"900000",38754,,"1"
2933772,"900150",5287,,"1"
2933772,"980000",44041,,"1"
2933772,"980010",4,,"1"
2933772,"980020",35,,"1"
2933772,"980030",2,,"1"
2933772,"980050",2,,"1"
2933772,"980070",44041,,"1"
2933772,"980220",100,,"1"
2933772,"980260",100,,"1"
2933772,"980270",100,,"1"
2933772,"980286",100,,"1"
2933772,"980300",100,,"1"
2933781,"900000",64445,,"1"
2933781,"980000",64445,,"1"
2933781,"980010",3,,"1"
2933781,"980020",31,,"1"
2933781,"980030",3,,"1"
2933781,"980070",64445,,"1"
2933781,"980090",100,,"1"
2933781,"980220",100,,"1"
2933781,"980230",100,,"1"
2933781,"980281",100,,"1"
2933781,"980286",100,,"1"
2933781,"980310",100,,"1"
2933782,"900000",69323,,"1"
2933782,"980000",69323,,"1"
2933782,"980010",3,,"1"
2933782,"980020",31,,"1"
2933782,"980030",3,,"1"
2933782,"980070",69323,,"1"
2933782,"980090",100,,"1"
2933782,"980220",100,,"1"
2933782,"980230",100,,"1"
2933782,"980281",100,,"1"
2933782,"980286",100,,"1"
2933782,"980310",100,,"1"
2933801,"800931",11429,,"1"
2933801,"900000",176000,,"1"
2933801,"900180",500,,"1"
2933801,"950001",-3000,,"1"
2933801,"950011",-600,,"1"
2933801,"980000",176500,,"1"
2933801,"980010",3,,"1"
2933801,"980020",54,,"1"
2933801,"980030",2,,"1"
2933801,"980040",3,,"1"
2933801,"980050",1,,"1"
2933801,"980070",180100,,"1"
2933801,"980090",100,,"1"
2933801,"980220",100,,"1"
2933801,"980230",100,,"1"
2933801,"980281",100,,"1"
2933801,"980286",100,,"1"
2933801,"980310",100,,"1"
2933801,"980330",100,,"1"
2933802,"800931",11429,,"1"
2933802,"900000",176000,,"1"
2933802,"900180",500,,"1"
2933802,"950001",-3000,,"1"
2933802,"950011",-600,,"1"
2933802,"980000",176500,,"1"
2933802,"980010",3,,"1"
2933802,"980020",54,,"1"
2933802,"980030",2,,"1"
2933802,"980040",3,,"1"
2933802,"980050",1,,"1"
2933802,"980070",180100,,"1"
2933802,"980090",100,,"1"
2933802,"980220",100,,"1"
2933802,"980230",100,,"1"
2933802,"980281",100,,"1"
2933802,"980286",100,,"1"
2933802,"980310",100,,"1"
2933802,"980330",100,,"1"
2933831,"900000",18889,,"1"
2933831,"900030",13585,,"1"
2933831,"980000",32475,,"1"
2933831,"980010",1,,"1"
2933831,"980020",68,,"1"
2933831,"980030",1,,"1"
2933831,"980040",1,,"1"
2933831,"980060",1,,"1"
2933831,"980070",32475,,"1"
2933831,"980090",100,,"1"
2933831,"980220",100,,"1"
2933831,"980230",100,,"1"
2933831,"980281",100,,"1"
2933831,"980286",100,,"1"
2933831,"980310",100,,"1"
2933831,"980330",100,,"1"
2933832,"900000",11232,,"1"
2933832,"900030",12280,,"1"
2933832,"980000",23511,,"1"
2933832,"980010",1,,"1"
2933832,"980020",68,,"1"
2933832,"980030",1,,"1"
2933832,"980040",1,,"1"
2933832,"980060",1,,"1"
2933832,"980070",23511,,"1"
2933832,"980090",100,,"1"
2933832,"980220",100,,"1"
2933832,"980230",100,,"1"
2933832,"980281",100,,"1"
2933832,"980286",100,,"1"
2933832,"980310",100,,"1"
2933832,"980330",100,,"1"
2933851,"900000",6832,,"1"
2933851,"900030",28859,,"1"
2933851,"900180",358,,"1"
2933851,"950001",-120,,"1"
2933851,"950011",-120,,"1"
2933851,"980000",36048,,"1"
2933851,"980010",2,,"1"
2933851,"980020",72,,"1"
2933851,"980030",1,,"1"
2933851,"980040",3,,"1"
2933851,"980060",2,,"1"
2933851,"980070",36288,,"1"
2933851,"980090",100,,"1"
2933851,"980220",100,,"1"
2933851,"980240",100,,"1"
2933851,"980283",100,,"1"
2933851,"980285",100,,"1"
2933851,"980310",100,,"1"
2933851,"980330",100,,"1"
2933852,"900000",8197,,"1"
2933852,"900030",28859,,"1"
2933852,"900180",77,,"1"
2933852,"950001",-120,,"1"
2933852,"950011",-120,,"1"
2933852,"980000",37133,,"1"
2933852,"980010",2,,"1"
2933852,"980020",72,,"1"
2933852,"980030",1,,"1"
2933852,"980040",3,,"1"
2933852,"980060",2,,"1"
2933852,"980070",37373,,"1"
2933852,"980090",100,,"1"
2933852,"980220",100,,"1"
2933852,"980240",100,,"1"
2933852,"980283",100,,"1"
2933852,"980285",100,,"1"
2933852,"980310",100,,"1"
2933852,"980330",100,,"1"
2933861,"800910",5056,,"1"
2933861,"900000",250000,,"1"
2933861,"980000",250000,,"1"
2933861,"980010",2,,"1"
2933861,"980020",49,,"1"
2933861,"980030",2,,"1"
2933861,"980040",2,,"1"
