"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","RENTCODE","RENT_ODE","BSNSPCTZ","BSNS_CTZ","QADRENTX","QADR_NTX","ANYVACAT","ANYV_CAT"
"20141",2737293,46,0,"1","105","D",.,"A",178,"D","1","D"
"20141",2738143,22,0,"1","105","D",.,"A",147,"D","1","D"
"20141",2738963,48,0,"1","160","D",.,"A",4000,"D","1","D"
"20141",2739783,60,0,"1","105","D",.,"A",39,"D","2","D"
"20141",2739783,61,0,"1","105","D",.,"A",39,"D","2","D"
"20141",2739823,77,0,"1","105","D",.,"A",208,"D","1","D"
"20141",2740253,51,0,"1","105","D",.,"A",66,"D","2","D"
"20141",2740253,52,0,"1","105","D",.,"A",79,"D","2","D"
"20141",2740643,51,0,"1","105","D",.,"A",200,"D","1","D"
"20141",2740683,29,0,"1","180","D",.,"A",250,"D","2","D"
"20141",2742273,32,0,"1","105","D",.,"A",2700,"D","1","D"
"20141",2742273,33,0,"1","160","D",.,"A",200,"D","1","D"
"20141",2742443,24,0,"1","150","D",.,"A",150,"D","1","D"
"20141",2744273,64,0,"1","105","D",.,"A",20,"D","2","D"
"20141",2744753,44,0,"1","105","D",.,"A",80,"D","1","D"
"20141",2745013,14,0,"1","105","D",.,"A",95,"D","1","D"
"20141",2746643,37,0,"1","105","D",.,"A",77,"D","1","D"
"20141",2747352,12,0,"1","105","D",1,"D",0,"D","1","D"
"20141",2747502,27,0,"1","105","D",.,"A",40,"D","2","D"
"20141",2748362,24,0,"1","105","D",.,"A",525,"D","2","D"
"20141",2749482,37,0,"1","105","D",.,"A",460,"D","2","D"
"20141",2751022,25,0,"1","105","D",.,"A",1,"D","1","D"
"20141",2751502,60,0,"1","105","D",.,"A",165,"D","1","D"
"20141",2751572,40,0,"1","105","D",.,"A",320,"D","1","D"
"20141",2752303,52,0,"1","105","D",.,"A",8,"D","2","D"
"20141",2752682,32,0,"1","105","D",.,"A",930,"D","2","D"
"20141",2753072,44,0,"1","105","D",.,"A",400,"D","1","D"
"20141",2753982,32,0,"1","105","D",.,"A",40,"D","1","D"
"20141",2754122,37,0,"1","105","D",.,"A",167,"D","1","D"
"20141",2754222,33,0,"1","105","D",.,"A",78,"D","1","D"
"20141",2754222,34,0,"1","105","D",.,"A",50,"D","1","D"
"20141",2755752,63,0,"1","105","D",.,"A",92,"D","1","D"
"20141",2756732,45,0,"1","105","D",.,"A",400,"D","1","D"
"20141",2757012,32,0,"1","105","D",.,"A",153,"F","1","D"
"20141",2757182,42,0,"1","105","D",.,"A",165,"D","1","D"
"20141",2757332,30,0,"1","105","D",.,"A",200,"D","2","D"
"20141",2758272,28,0,"1","105","D",.,"A",860,"D","2","D"
"20141",2758352,55,0,"1","105","D",.,"A",482,"D","1","D"
"20141",2758352,56,0,"1","105","D",.,"A",475,"D","1","D"
"20141",2758552,27,0,"1","105","D",.,"A",1600,"D","1","D"
"20141",2758882,31,0,"1","105","D",.,"A",185,"D","2","D"
"20141",2759322,40,0,"1","105","D",.,"A",48,"D","1","D"
"20141",2761702,34,0,"1","105","D",.,"A",330,"D","1","D"
"20141",2762062,41,0,"1","105","D",.,"A",15,"D","2","D"
"20141",2762102,33,0,"1","105","D",.,"A",400,"D","1","D"
"20141",2762812,34,0,"1","200","D",.,"A",34,"D","1","D"
"20141",2762862,43,0,"1","105","D",.,"A",332,"D","1","D"
