"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20151",2907053,9,0,"1",.,"A"
"20151",2907083,19,0,"1",.,"A"
"20151",2907103,42,0,"1",.,"A"
"20151",2907113,28,0,"1",138,"D"
"20151",2907153,13,0,"1",135,"D"
"20151",2907163,16,0,"1",.,"A"
"20151",2907183,32,0,"1",.,"A"
"20151",2907203,29,0,"1",.,"A"
"20151",2907213,43,0,"1",.,"A"
"20151",2907233,26,0,"1",.,"A"
"20151",2907253,11,0,"1",.,"A"
"20151",2907263,30,0,"1",.,"A"
"20151",2907273,15,0,"1",.,"A"
"20151",2907303,67,0,"1",.,"A"
"20151",2907333,22,0,"1",.,"A"
"20151",2907373,35,0,"1",.,"A"
"20151",2907393,65,0,"1",.,"A"
"20151",2907403,26,0,"1",.,"A"
"20151",2907413,22,0,"1",.,"A"
"20151",2907423,48,0,"1",.,"A"
"20151",2907433,10,0,"1",.,"A"
"20151",2907453,18,0,"1",.,"A"
"20151",2907463,44,0,"1",.,"A"
