"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20151",2874524,47,0,"1",.,"A"
"20151",2874545,31,0,"1",.,"A"
"20151",2874564,8,0,"1",.,"A"
"20151",2874614,38,0,"1",.,"A"
"20151",2874634,35,0,"1",.,"A"
"20151",2874654,57,0,"1",.,"A"
"20151",2874664,17,0,"1",.,"A"
"20151",2874704,63,0,"1",.,"A"
"20151",2874714,9,0,"1",.,"A"
"20151",2874734,36,0,"1",.,"A"
"20151",2874774,45,0,"1",.,"A"
"20151",2874784,36,0,"1",.,"A"
"20151",2874834,34,0,"1",.,"A"
"20151",2874844,26,0,"1",.,"A"
"20151",2874874,8,0,"1",.,"A"
"20151",2874894,25,0,"1",.,"A"
"20151",2874914,30,0,"1",.,"A"
"20151",2874934,9,0,"1",.,"A"
"20151",2874964,40,0,"1",.,"A"
"20151",2875004,23,0,"1",.,"A"
"20151",2875014,18,0,"1",.,"A"
"20151",2875024,69,0,"1",.,"A"
"20151",2875034,14,0,"1",.,"A"
"20151",2875044,25,0,"1",.,"A"
"20151",2875054,39,0,"1",9,"D"
"20151",2875064,31,0,"1",8,"D"
"20151",2875094,26,0,"1",.,"A"
"20151",2875184,20,0,"1",.,"A"
"20151",2875224,19,0,"1",.,"A"
"20151",2875234,75,0,"1",.,"A"
"20151",2875294,26,0,"1",.,"A"
"20151",2875324,28,0,"1",.,"A"
"20151",2875334,40,0,"1",.,"A"
"20151",2875344,11,0,"1",.,"A"
"20151",2875354,31,0,"1",.,"A"
"20151",2875404,30,0,"1",.,"A"
"20151",2875424,33,0,"1",.,"A"
"20151",2875434,33,0,"1",.,"A"
"20151",2875454,70,0,"1",.,"A"
"20151",2875504,56,0,"1",.,"A"
"20151",2875514,30,0,"1",.,"A"
"20151",2875554,17,0,"1",.,"A"
"20151",2875564,31,0,"1",.,"A"
"20151",2875624,32,0,"1",.,"A"
"20151",2875644,47,0,"1",.,"A"
"20151",2875654,28,0,"1",.,"A"
"20151",2875684,8,0,"1",.,"A"
"20151",2875724,7,0,"1",.,"A"
"20151",2875734,15,0,"1",.,"A"
"20151",2875754,27,0,"1",.,"A"
"20151",2875784,33,0,"1",60,"D"
"20151",2875844,11,0,"1",.,"A"
"20151",2875854,10,0,"1",120,"D"
"20151",2875874,34,0,"1",.,"A"
"20151",2875884,38,0,"1",.,"A"
"20151",2875894,24,0,"1",.,"A"
"20151",2875904,14,0,"1",.,"A"
"20151",2875934,7,0,"1",.,"A"
"20151",2875964,114,0,"1",.,"A"
"20151",2875994,12,0,"1",.,"A"
"20151",2876004,42,0,"1",.,"A"
"20151",2876014,31,0,"1",.,"A"
"20151",2876024,16,0,"1",.,"A"
"20151",2876034,21,0,"1",.,"A"
"20151",2876054,7,0,"1",.,"A"
"20151",2876064,12,0,"1",.,"A"
"20151",2876074,75,0,"1",.,"A"
"20151",2876084,13,0,"1",.,"A"
"20151",2876114,24,0,"1",.,"A"
"20151",2876144,52,0,"1",.,"A"
"20151",2876154,18,0,"1",.,"A"
"20151",2876164,60,0,"1",.,"A"
"20151",2876174,66,0,"1",.,"A"
"20151",2876194,52,0,"1",.,"A"
"20151",2876205,21,0,"1",90,"D"
