"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20142",2787472,65,0,"1",1430,"D",260,"D",.,"A",520,"D",.,"A",.,"A",.,"A",1170,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787512,14,0,"1",1950,"D",130,"D",.,"A",1300,"D",120,"D",.,"A",.,"A",1820,"D",120,"D",20,"D",260,"D",.,"A",.,"A"
"20142",2787522,38,0,"1",780,"D",65,"D",.,"A",325,"D",30,"D",.,"A",.,"A",715,"D",75,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2787532,27,0,"1",2600,"D",0,"D",650,"D",1300,"D",.,"A",.,"A",.,"A",2600,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787542,11,0,"1",2376,"F",.,"A",.,"A",899,"F",.,"A",.,"A",.,"A",1958,"F",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787572,41,0,"1",2275,"D",325,"D",.,"A",975,"D",0,"D",.,"A",45,"D",1950,"D",90,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2787602,24,0,"1",585,"D",195,"D",.,"A",390,"D",.,"A",.,"A",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787612,48,0,"1",1560,"D",260,"D",.,"A",390,"D",90,"D",.,"A",.,"A",1300,"D",90,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2787622,28,0,"1",650,"D",260,"D",.,"A",0,"D",.,"A",.,"A",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2787633,31,0,"1",1950,"D",390,"D",.,"A",0,"D",.,"A",.,"A",.,"A",1560,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
