"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOF","PROP0NOF","OWNYF","OWNYF_","NEWMRRT","NEWMRRT_","ORGMRTX","ORGMRTX_","QMRTTERM","QMRT_ERM","MRTPMTX","MRTPMTX_","PAYPROTX","PAYP_OTX","PAYPROIN","PAYP_OIN","PAYMORIN","PAYM_RIN","PAYOTHER","PAYO_HER","QESCROWX","QESC_OWX","QPRINM1X","QPRI_M1X","QPRINM2X","QPRI_M2X","QPRINM3X","QPRI_M3X","QADINT1X","QADI_T1X","QADINT2X","QADI_T2X","QADINT3X","QADI_T3X","QRFINDAT","QRFI_DAT","FRSTPYMO","FRST_YMO","FRSTPYYR","FRST_YYR","FIXEDRTE","FIXE_RTE","QNEWDATE","QNEW_ATE","QBLNCM1X","QBLN_M1X","QBLNCM2X","QBLN_M2X","QBLNCM3X","QBLN_M3X","LOAN_NOF","LOAN0NOF","VARRTE","VARRTE_","INTONLY","INTONLY_","OTHRTE","OTHRTE_","PAYMT1X","PAYMT1X_","PAYMT2X","PAYMT2X_","PAYMT3X","PAYMT3X_","PAYPRINI","PAYP_INI","PAYINT","PAYINT_"
"20144",2870023,17,0,"5","01","D","100","D",0.0784,"D",157409,"D",20,"D",1556,"D","3","D","4","D",,"A",,"A",255,"D",804,"D",809,"D",814,"D",497,"D",492,"D",487,"D",,"A","11","D","2000","D","1","D",,"A",76146,"D",75343,"D",74534,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870093,47,0,"5","01","D","100","D",0.0425,"D",617723,"T",30,"D",2700,"D",,"B",,"B",,"B",,"B",117,"D",1042,"D",1045,"D",1049,"D",1541,"D",1538,"D",1534,"D",,"A","02","D","2006","D","1","D",,"A",576306,"T",575826,"T",573497,"T","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870213,14,0,"5","01","D","100","D",0.0422,"D",209309,"D",30,"D",1248,"D","3","D",,"A",,"A",,"A",222,"D",.,"A",.,"A",366,"D",.,"A",.,"A",495,"D",,"A","05","D","2009","D","1","D","112014","D",.,"A",.,"A",187813,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870213,27,0,"5","01","D","100","D",0.0422,"D",210000,"D",30,"D",1298,"D","3","D","4","D",,"A",,"A",269,"D",364,"D",365,"D",.,"A",499,"D",498,"D",.,"A","112014","D","05","D","2009","D","1","D",,"A",189190,"D",188827,"D",.,"A","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870233,34,0,"5","01","D","100","D",0.048,"D",300000,"D",30,"D",3100,"D","3","D","4","D",,"A",,"A",1526,"D",678,"D",681,"D",683,"D",896,"D",893,"D",891,"D",,"A","04","D","2002","D","1","D",,"A",224014,"D",223336,"D",222655,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870243,35,0,"5","01","D","100","D",0.0784,"F",397016,"F",30,"F",5788,"V","3","F","4","F",,"A",,"A",1131,"F",328,"F",330,"F",332,"F",2541,"F",2539,"F",2537,"F",,"A","06","F","2012","F","1","F",,"A",388920,"F",388592,"F",388262,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870343,27,0,"5","01","D","100","D",0.0425,"D",277000,"D",30,"D",1650,"D","3","D","4","D",,"A",,"A",287,"D",633,"D",635,"D",638,"D",730,"D",728,"D",725,"D",,"A","10","D","2002","D","1","D",,"A",206045,"D",205412,"D",204777,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870433,35,0,"5","01","D","100","D",0.0784,"D",121222,"D",30,"D",1108,"D","3","D","4","D",,"A",,"A",232,"D",147,"D",148,"D",149,"D",729,"D",728,"D",727,"D",,"A","07","D","2007","D","1","D",,"A",111568,"D",111421,"D",111273,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870543,18,0,"5","01","D","100","D",0.045,"D",53000,"D",30,"D",800,"D","3","D","4","D",,"A",,"A",531,"D",179,"D",180,"D",180,"D",90,"D",89,"D",89,"D",,"A","11","D","1993","D","1","D",,"A",23980,"D",23801,"D",23621,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2870603,17,0,"5","01","D","100","D",0.0784,"D",283000,"D",15,"D",2700,"D","3","D",,"A",,"A",,"A",22,"D",1921,"T",1933,"T",1911,"T",1088,"D",1078,"D",1067,"D",,"A","05","D","2006","D","1","D",,"A",166526,"D",164936,"D",163335,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
