"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20141",2667195,24,0,"5","01","D","100","D","1","D",0.0475,"D",36,"F",1564,"F","01","D",3000,"F"
"20141",2667325,42,0,"5","01","D","100","D","1","D",0.0475,"D",1045,"D",2555,"D","01","D",88000,"D"
"20141",2667525,36,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2668835,27,0,"5","01","D","100","D","1","D",0.0475,"D",12,"F",588,"F","01","D",1000,"F"
"20141",2669215,30,0,"5","01","D","100","D","1","D",0.0475,"D",416,"D",2584,"D","01","D",35000,"D"
"20141",2669475,25,0,"5","01","D","100","D","1","D",0.0475,"D",143,"D",157,"D","01","D",12000,"D"
"20141",2669665,28,0,"5","01","D","100","D","1","D",0.0475,"D",303,"D",597,"D","01","D",25500,"D"
"20141",2669805,46,0,"5","01","D","100","D","1","D",0.0475,"D",297,"D",3,"D","01","D",25000,"D"
"20141",2669935,38,0,"5","01","D","100","D","1","D",0.0475,"D",344,"D",-44,"D","01","D",29000,"D"
"20141",2670075,11,0,"5","01","D","100","D","2","D",0.0475,"D",813,"F",837,"F","01","D",68500,"F"
"20141",2670665,47,0,"5","01","D","100","D","1","D",0.0475,"D",1176,"D",-613,"D","01","D",99000,"D"
"20141",2671445,34,0,"5","01","D","100","D","1","D",0.0475,"D",83,"D",2917,"D","01","D",7000,"D"
"20141",2671445,35,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","02","D",0,"D"
"20141",2671585,42,0,"5","01","D","100","D","1","D",0.0475,"D",1905,"D",726,"D","01","D",160380,"D"
"20141",2673095,29,0,"5","01","D","100","D","1","D",0.0475,"D",36,"D",2964,"D","01","D",3000,"D"
"20141",2673285,18,0,"5","01","D","100","D","1","D",0.0475,"D",368,"D",382,"D","01","D",31000,"D"
"20141",2673905,36,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2674635,31,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",1148,"D","01","D",20000,"D"
"20141",2674755,42,0,"5","01","D","100","D","1","D",0.0475,"D",1484,"D",16,"D","01","D",125000,"D"
"20141",2675645,42,0,"5","01","D","100","D","1","D",0.0475,"D",772,"D",-172,"D","01","D",65000,"D"
"20141",2675725,8,0,"5","01","D","100","D","1","D",0.0475,"D",1116,"F",3484,"F","01","D",94000,"F"
"20141",2676315,19,0,"5","01","D","100","D","1","D",0.0475,"D",338,"D",862,"D","01","D",28500,"D"
"20141",2676765,26,0,"5","01","D","100","D","2","D",0.0475,"D",43,"F",1457,"F","01","D",3600,"F"
"20141",2678245,42,0,"5","01","D","100","D","1","D",0.0475,"D",0,"F",0,"F","01","D",0,"F"
"20141",2678605,35,0,"5","01","D","100","D","1","D",0.0475,"D",321,"F",1653,"F","01","D",27000,"F"
"20141",2678625,57,0,"5","01","D","100","D","1","D",0.0475,"D",119,"D",171,"D","01","D",10000,"D"
"20141",2678625,58,0,"5","01","D","100","D","1","D",0.0475,"D",238,"D",662,"D","02","D",20000,"D"
"20141",2679725,51,0,"5","01","D","100","D","1","D",0.0475,"D",1888,"D",-33,"D","01","D",159000,"D"
"20141",2680185,41,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",5000,"D"
"20141",2680904,43,0,"5","01","D","100","D","1","D",0.0475,"D",48,"D",1002,"D","01","D",4000,"D"
"20141",2681544,42,0,"5","01","D","100","D","1","D",0.0475,"D",0,"D",0,"D","01","D",0,"D"
"20141",2681784,25,0,"5","01","D","100","D","1","D",0.0475,"D",192,"D",1458,"D","01","D",16164,"D"
"20141",2681914,30,0,"5","01","D","100","D","1","D",0.0475,"D",404,"F",196,"F","01","D",34000,"F"
"20141",2683164,43,0,"5","01","D","100","D","1","D",0.0475,"D",667,"D",180,"D","01","D",56129,"D"
"20141",2683434,35,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",100000,"D"
"20141",2684334,34,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",50000,"D"
"20141",2685094,34,0,"5","01","D","100","D","1","D",0.0475,"D",116,"D",499,"D","01","D",9750,"D"
"20141",2685974,20,0,"5","01","D","100","D","1","D",0.0475,"D",282,"D",-81,"D","01","D",23755,"D"
"20141",2686754,28,0,"5","01","D","100","D","1","D",0.0475,"D",344,"D",985,"D","01","D",29000,"D"
"20141",2687024,17,0,"5","01","D","100","D","2","D",0.0475,"D",116,"F",499,"F","01","D",9750,"F"
"20141",2687854,14,0,"5","01","D","100","D","1","D",0.0475,"D",143,"D",57,"D","01","D",12000,"D"
"20141",2688314,33,0,"5","01","D","100","D","1","D",0.0475,"D",53,"D",947,"D","01","D",4500,"D"
"20141",2688874,13,0,"5","01","D","100","D","1","D",0.0475,"D",202,"F",21242,"V","01","D",17000,"F"
"20141",2689184,37,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",6260,"D"
"20141",2690284,13,0,"5","01","D","100","D","1","D",0.0475,"D",71,"D",529,"D","01","D",6000,"D"
"20141",2691064,26,0,"5","01","D","100","D","1","D",0.0475,"D",285,"F",415,"F","01","D",24000,"F"
"20141",2692844,16,0,"5","01","D","100","D",,"C",0.0475,"D",2019,"F",-819,"F","01","D",170000,"F"
"20141",2693334,49,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2694104,29,0,"5","01","D","100","D","1","D",0.0475,"D",48,"F",352,"F","01","D",4000,"F"
"20141",2694984,41,0,"5","01","D","100","D","1","D",0.0475,"D",356,"D",694,"D","01","D",30000,"D"
"20141",2695274,49,0,"5","01","D","100","D","1","D",0.0475,"D",214,"D",986,"D","01","D",18000,"D"
