"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20143",2874522,42,0,"5","01","D","100","D",0.0859,"D",74435,"D",12,"D",830,"D",,"A",,"A",,"A",,"A",0,"D",317,"D",319,"D",321,"D",513,"D",511,"D",509,"D",,"A","09","D","2013","D","1","D",,"A",71683,"D",71366,"D",71047,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20143",2876542,47,0,"5","02","D","300","D",0.0859,"D",49894,"T",5,"D",864,"D",,"A",,"A",,"A",,"A",0,"D",683,"D",688,"D",693,"D",181,"D",176,"D",171,"D",,"A","03","D","2012","D","1","D",,"A",25314,"D",24631,"D",23943,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20143",2876642,10,0,"1","01","D","100","D",0.0859,"F",101008,"F",15,"F",1000,"F",,"B",,"B",,"B",,"B",65,"F",861,"F",867,"F",873,"F",139,"F",133,"F",127,"F",,"A","01","F","2001","F","1","F",,"A",18572,"F",17706,"F",16832,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20143",2876652,16,0,"5","02","D","300","D",0.0859,"D",20000,"D",10,"D",300,"D","3","D",,"A",,"A",,"A",51,"D",189,"D",190,"D",191,"D",60,"D",59,"D",58,"D",,"A","09","D","2007","D","1","D",,"A",8438,"D",8249,"D",8059,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20143",2876692,15,0,"5","01","D","100","D",0.0575,"D",41411,"D",7,"D",600,"D",,"A",,"A",,"A",,"A",0,"D",508,"D",510,"D",512,"D",92,"D",90,"D",88,"D",,"A","05","D","2010","D","1","D",,"A",19291,"D",18784,"D",18274,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20143",2932014,17,0,"1","01","D","100","D",0.0859,"F",75000,"F",5,"F",1542,"F",,"A",,"A",,"A",,"A",0,"F",1005,"F",1012,"F",1020,"F",537,"F",530,"F",522,"F",,"A","06","F","2014","F","1","F","062014","F",75000,"F",73995,"F",72983,"F","01","D",,"C",,"C",,"C",300,"F",300,"F",300,"F","1","D","2","D"
"20144",2747505,23,0,"5","01","D","100","D",0.0859,"D",74411,"D",20,"D",650,"D",,"A",,"A",,"A",,"A",0,"D",0,"D",0,"D",0,"D",650,"D",650,"D",650,"D",,"A","11","D","2004","D","1","D",,"A",74411,"D",74411,"D",74411,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"A","2","D"
"20144",2748635,11,0,"5","01","D","100","D",0.059,"F",30000,"F",20,"F",253,"F",,"B",,"B",,"B",,"B",40,"F",116,"F",117,"F",117,"F",97,"F",96,"F",96,"F",,"A","10","F","2004","F","1","F",,"A",19674,"F",19558,"F",19441,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2749545,22,0,"5","01","D","100","D",0.045,"F",50000,"F",15,"F",399,"F",,"B",,"B",,"B",,"B",17,"F",243,"F",244,"F",245,"F",139,"F",138,"F",137,"F",,"A","07","F","2009","F","1","F",,"A",36940,"F",36697,"F",36452,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2750195,22,0,"5","01","D","100","D",0.06,"F",16590,"F",15,"F",140,"F",,"A",,"A",,"A",,"A",0,"F",73,"F",73,"F",74,"F",67,"F",67,"F",66,"F",,"A","07","F","2010","F","1","F",,"A",13431,"F",13358,"F",13285,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2752525,30,0,"5","01","D","100","D",0.09,"D",50000,"D",15,"D",560,"D",,"B",,"B",,"B",,"B",53,"D",328,"D",331,"D",333,"D",179,"D",176,"D",174,"D",,"A","05","D","2004","D","1","D",,"A",23807,"D",23478,"D",23147,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A",,"C",,"A"
"20144",2752775,27,0,"5","01","D","100","D",0.0859,"D",72308,"D",10,"D",900,"D",,"A",,"A",,"A",,"A",0,"D",451,"D",454,"D",457,"D",449,"D",446,"D",443,"D",,"A","08","D","2012","D","1","D",,"A",62784,"D",62334,"D",61880,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2752825,28,0,"5","01","D","100","D",0.065,"F",86000,"F",15,"F",1100,"F",,"B",,"B",,"B",,"B",351,"F",562,"F",565,"F",568,"F",168,"F",166,"F",163,"F",,"A","02","F","2004","F","1","F",,"A",34461,"F",33899,"F",33334,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
