"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20143",2805073,37,0,"1","420","D","06","D",100,"D",,"A",,"A",,"A",,"A"
"20143",2805113,19,0,"1","420","D","08","D",160,"D",,"A",,"A",,"A",,"A"
"20143",2805243,30,0,"1","420","D","07","D",120,"D",,"A",,"A",,"A",,"A"
"20143",2805383,49,0,"2","420","D","06","D",200,"D",,"A",,"A",,"A",,"A"
"20143",2805443,33,0,"1","410","D","07","D",60,"D",,"A",,"A",,"A",,"A"
"20143",2805473,59,0,"1","420","D","08","D",79,"D",,"A",,"A",,"A",,"A"
"20143",2805483,39,0,"1","410","D","08","D",18,"D",,"A",,"A",,"A",,"A"
"20143",2805493,42,0,"1","420","D","06","D",56,"D",,"A",,"A",,"A",,"A"
"20143",2805493,43,0,"1","420","D","06","D",48,"D",,"A",,"A",,"A",,"A"
"20143",2805503,30,0,"1","420","D","08","D",150,"D",,"A",,"A",,"A",,"A"
"20143",2805563,68,0,"2","420","D","06","D",83,"D",,"A",,"A",,"A",,"A"
"20143",2805563,69,0,"2","410","D","06","D",35,"D",,"A",,"A",,"A",,"A"
"20143",2805573,53,0,"1","400","D","06","D",60,"F",,"A",,"A",,"A",,"A"
"20143",2805603,36,0,"1","420","D","06","D",200,"D",,"A",,"A",,"A",,"A"
"20143",2805873,54,0,"1","420","D","07","D",80,"D",,"A",,"A",,"A",,"A"
"20143",2805873,55,0,"1","405","D","07","D",100,"D",,"A",,"A",,"A",,"A"
"20143",2805943,71,0,"1","420","D","08","D",94,"D",,"A",,"A",,"A",,"A"
"20143",2805943,72,0,"2","420","D","06","D",120,"D",,"A",,"A",,"A",,"A"
"20143",2805983,44,0,"1","410","D","08","D",60,"D",,"A",,"A",,"A",,"A"
"20143",2805983,45,0,"1","420","D","07","D",36,"D",,"A",,"A",,"A",,"A"
"20143",2806063,22,0,"1","420","D","08","D",25,"D",,"A",,"A",,"A",,"A"
"20143",2806163,40,0,"1","410","D","07","D",16,"D",,"A",,"A",,"A",,"A"
"20143",2806183,60,0,"1","400","D","07","D",42,"D",,"A",,"A",,"A",,"A"
"20143",2806323,17,0,"1","420","D","08","D",73,"D",,"A",,"A",,"A",,"A"
"20143",2806433,55,0,"1","430","D","07","D",.,"H","425","D","415","D",,"A",,"A"
"20143",2806433,55,1,"1","420","D","07","D",700,"E",,"A",,"A",,"A",,"A"
"20143",2806553,40,0,"1","420","D","07","D",53,"D",,"A",,"A",,"A",,"A"
"20143",2806553,41,0,"2","420","D","06","D",59,"D",,"A",,"A",,"A",,"A"
