"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900000",79764,"1",2878851,"1",
"900000",72424,"2",2878851,"1",
"900000",82891,"3",2878851,"1",
"900000",88076,"4",2878851,"1",
"900000",50000,"5",2878851,"1",
"980000",79764,"1",2878851,"1",
"980000",72424,"2",2878851,"1",
"980000",82891,"3",2878851,"1",
"980000",88076,"4",2878851,"1",
"980000",50000,"5",2878851,"1",
"980070",79764,"1",2878851,"1",
"980070",72424,"2",2878851,"1",
"980070",82891,"3",2878851,"1",
"980070",88076,"4",2878851,"1",
"980070",50000,"5",2878851,"1",
"900000",32618,"1",2878852,"1",
"900000",92888,"2",2878852,"1",
"900000",90178,"3",2878852,"1",
"900000",71154,"4",2878852,"1",
"900000",111020,"5",2878852,"1",
"980000",32618,"1",2878852,"1",
"980000",92888,"2",2878852,"1",
"980000",90178,"3",2878852,"1",
"980000",71154,"4",2878852,"1",
"980000",111020,"5",2878852,"1",
"980070",32618,"1",2878852,"1",
"980070",92888,"2",2878852,"1",
"980070",90178,"3",2878852,"1",
"980070",71154,"4",2878852,"1",
"980070",111020,"5",2878852,"1",
"900000",24231,"1",2878861,"1",
"900000",24231,"2",2878861,"1",
"900000",24231,"3",2878861,"1",
"900000",24231,"4",2878861,"1",
"900000",24231,"5",2878861,"1",
"900140",2200,"1",2878861,"1",
"900140",2200,"2",2878861,"1",
"900140",2200,"3",2878861,"1",
"900140",2200,"4",2878861,"1",
"900140",2200,"5",2878861,"1",
"980000",26431,"1",2878861,"1",
"980000",26431,"2",2878861,"1",
"980000",26431,"3",2878861,"1",
"980000",26431,"4",2878861,"1",
"980000",26431,"5",2878861,"1",
"980070",28231,"1",2878861,"1",
"980070",28231,"2",2878861,"1",
"980070",28231,"3",2878861,"1",
"980070",28231,"4",2878861,"1",
"980070",28231,"5",2878861,"1",
"900000",24231,"1",2878862,"1",
"900000",24231,"2",2878862,"1",
"900000",24231,"3",2878862,"1",
"900000",24231,"4",2878862,"1",
"900000",24231,"5",2878862,"1",
"900140",2200,"1",2878862,"1",
"900140",2200,"2",2878862,"1",
"900140",2200,"3",2878862,"1",
"900140",2200,"4",2878862,"1",
"900140",2200,"5",2878862,"1",
"980000",26431,"1",2878862,"1",
"980000",26431,"2",2878862,"1",
"980000",26431,"3",2878862,"1",
"980000",26431,"4",2878862,"1",
"980000",26431,"5",2878862,"1",
"980070",28231,"1",2878862,"1",
"980070",28231,"2",2878862,"1",
"980070",28231,"3",2878862,"1",
"980070",28231,"4",2878862,"1",
"980070",28231,"5",2878862,"1",
"900000",92000,"1",2878871,"1",
"900000",92000,"2",2878871,"1",
"900000",92000,"3",2878871,"1",
"900000",92000,"4",2878871,"1",
"900000",92000,"5",2878871,"1",
"980000",92000,"1",2878871,"1",
"980000",92000,"2",2878871,"1",
"980000",92000,"3",2878871,"1",
"980000",92000,"4",2878871,"1",
"980000",92000,"5",2878871,"1",
"980070",92000,"1",2878871,"1",
"980070",92000,"2",2878871,"1",
"980070",92000,"3",2878871,"1",
"980070",92000,"4",2878871,"1",
"980070",92000,"5",2878871,"1",
"900000",92000,"1",2878872,"1",
"900000",92000,"2",2878872,"1",
"900000",92000,"3",2878872,"1",
"900000",92000,"4",2878872,"1",
"900000",92000,"5",2878872,"1",
"980000",92000,"1",2878872,"1",
"980000",92000,"2",2878872,"1",
"980000",92000,"3",2878872,"1",
"980000",92000,"4",2878872,"1",
"980000",92000,"5",2878872,"1",
"980070",92000,"1",2878872,"1",
"980070",92000,"2",2878872,"1",
"980070",92000,"3",2878872,"1",
"980070",92000,"4",2878872,"1",
"980070",92000,"5",2878872,"1",
"900030",1120,"1",2878881,"1",
"900030",1120,"2",2878881,"1",
"900030",1120,"3",2878881,"1",
"900030",1120,"4",2878881,"1",
"900030",1120,"5",2878881,"1",
"900150",3048,"1",2878881,"1",
"900150",3048,"2",2878881,"1",
"900150",3048,"3",2878881,"1",
"900150",3048,"4",2878881,"1",
"900150",3048,"5",2878881,"1",
"980000",4168,"1",2878881,"1",
"980000",4168,"2",2878881,"1",
"980000",4168,"3",2878881,"1",
"980000",4168,"4",2878881,"1",
"980000",4168,"5",2878881,"1",
"980070",4168,"1",2878881,"1",
"980070",4168,"2",2878881,"1",
"980070",4168,"3",2878881,"1",
"980070",4168,"4",2878881,"1",
"980070",4168,"5",2878881,"1",
"900030",1120,"1",2878882,"1",
"900030",1120,"2",2878882,"1",
"900030",1120,"3",2878882,"1",
"900030",1120,"4",2878882,"1",
"900030",1120,"5",2878882,"1",
"900150",3048,"1",2878882,"1",
"900150",3048,"2",2878882,"1",
"900150",3048,"3",2878882,"1",
"900150",3048,"4",2878882,"1",
"900150",3048,"5",2878882,"1",
"980000",4168,"1",2878882,"1",
"980000",4168,"2",2878882,"1",
"980000",4168,"3",2878882,"1",
"980000",4168,"4",2878882,"1",
"980000",4168,"5",2878882,"1",
"980070",4168,"1",2878882,"1",
"980070",4168,"2",2878882,"1",
"980070",4168,"3",2878882,"1",
"980070",4168,"4",2878882,"1",
"980070",4168,"5",2878882,"1",
"900000",37000,"1",2878911,"1",
"900000",37000,"2",2878911,"1",
"900000",37000,"3",2878911,"1",
"900000",37000,"4",2878911,"1",
"900000",37000,"5",2878911,"1",
"900150",5496,"1",2878911,"1",
"900150",5496,"2",2878911,"1",
"900150",5496,"3",2878911,"1",
"900150",5496,"4",2878911,"1",
"900150",5496,"5",2878911,"1",
"980000",42496,"1",2878911,"1",
"980000",42496,"2",2878911,"1",
"980000",42496,"3",2878911,"1",
"980000",42496,"4",2878911,"1",
"980000",42496,"5",2878911,"1",
"980070",49696,"1",2878911,"1",
"980070",49696,"2",2878911,"1",
"980070",49696,"3",2878911,"1",
"980070",49696,"4",2878911,"1",
"980070",49696,"5",2878911,"1",
"900000",37000,"1",2878912,"1",
"900000",37000,"2",2878912,"1",
"900000",37000,"3",2878912,"1",
"900000",37000,"4",2878912,"1",
"900000",37000,"5",2878912,"1",
"900150",5496,"1",2878912,"1",
"900150",5496,"2",2878912,"1",
"900150",5496,"3",2878912,"1",
"900150",5496,"4",2878912,"1",
"900150",5496,"5",2878912,"1",
"980000",42496,"1",2878912,"1",
"980000",42496,"2",2878912,"1",
"980000",42496,"3",2878912,"1",
"980000",42496,"4",2878912,"1",
"980000",42496,"5",2878912,"1",
"980070",49696,"1",2878912,"1",
"980070",49696,"2",2878912,"1",
"980070",49696,"3",2878912,"1",
"980070",49696,"4",2878912,"1",
"980070",49696,"5",2878912,"1",
"900030",9107,"1",2878921,"1",
"900030",9107,"2",2878921,"1",
"900030",9107,"3",2878921,"1",
"900030",9107,"4",2878921,"1",
"900030",9107,"5",2878921,"1",
"900150",180,"1",2878921,"1",
"900150",180,"2",2878921,"1",
"900150",180,"3",2878921,"1",
"900150",180,"4",2878921,"1",
"900150",180,"5",2878921,"1",
"980000",9287,"1",2878921,"1",
"980000",9287,"2",2878921,"1",
"980000",9287,"3",2878921,"1",
"980000",9287,"4",2878921,"1",
"980000",9287,"5",2878921,"1",
"980070",9287,"1",2878921,"1",
"980070",9287,"2",2878921,"1",
"980070",9287,"3",2878921,"1",
"980070",9287,"4",2878921,"1",
"980070",9287,"5",2878921,"1",
"900030",9107,"1",2878922,"1",
"900030",9107,"2",2878922,"1",
"900030",9107,"3",2878922,"1",
"900030",9107,"4",2878922,"1",
"900030",9107,"5",2878922,"1",
"900150",180,"1",2878922,"1",
"900150",180,"2",2878922,"1",
"900150",180,"3",2878922,"1",
"900150",180,"4",2878922,"1",
"900150",180,"5",2878922,"1",
"980000",9287,"1",2878922,"1",
"980000",9287,"2",2878922,"1",
"980000",9287,"3",2878922,"1",
"980000",9287,"4",2878922,"1",
"980000",9287,"5",2878922,"1",
"980070",9287,"1",2878922,"1",
"980070",9287,"2",2878922,"1",
"980070",9287,"3",2878922,"1",
"980070",9287,"4",2878922,"1",
"980070",9287,"5",2878922,"1",
"900170",6954,"1",2878931,"1",
"900170",76254,"2",2878931,"1",
"900170",52346,"3",2878931,"1",
"900170",2311,"4",2878931,"1",
"900170",64851,"5",2878931,"1",
"980000",6954,"1",2878931,"1",
"980000",76254,"2",2878931,"1",
"980000",52346,"3",2878931,"1",
"980000",2311,"4",2878931,"1",
"980000",64851,"5",2878931,"1",
"980070",6954,"1",2878931,"1",
"980070",76254,"2",2878931,"1",
"980070",52346,"3",2878931,"1",
"980070",2311,"4",2878931,"1",
"980070",64851,"5",2878931,"1",
"900030",9900,"1",2878932,"1",
"900030",7920,"2",2878932,"1",
"900030",11640,"3",2878932,"1",
"900030",14916,"4",2878932,"1",
"900030",17352,"5",2878932,"1",
"900180",14954,"1",2878932,"1",
"900180",51,"2",2878932,"1",
"900180",5,"3",2878932,"1",
"900180",153,"4",2878932,"1",
"900180",411,"5",2878932,"1",
"980000",24854,"1",2878932,"1",
"980000",7971,"2",2878932,"1",
"980000",11645,"3",2878932,"1",
"980000",15069,"4",2878932,"1",
"980000",17763,"5",2878932,"1",
"980070",24854,"1",2878932,"1",
"980070",7971,"2",2878932,"1",
"980070",11645,"3",2878932,"1",
"980070",15069,"4",2878932,"1",
"980070",17763,"5",2878932,"1",
"900000",23100,"1",2878941,"1",
"900000",23100,"2",2878941,"1",
"900000",23100,"3",2878941,"1",
"900000",23100,"4",2878941,"1",
"900000",23100,"5",2878941,"1",
"900030",18659,"1",2878941,"1",
"900030",18659,"2",2878941,"1",
"900030",18659,"3",2878941,"1",
"900030",18659,"4",2878941,"1",
"900030",18659,"5",2878941,"1",
"900170",22000,"1",2878941,"1",
"900170",22000,"2",2878941,"1",
"900170",22000,"3",2878941,"1",
"900170",22000,"4",2878941,"1",
"900170",22000,"5",2878941,"1",
"980000",63759,"1",2878941,"1",
"980000",63759,"2",2878941,"1",
"980000",63759,"3",2878941,"1",
"980000",63759,"4",2878941,"1",
"980000",63759,"5",2878941,"1",
"980070",63759,"1",2878941,"1",
"980070",63759,"2",2878941,"1",
"980070",63759,"3",2878941,"1",
"980070",63759,"4",2878941,"1",
"980070",63759,"5",2878941,"1",
"900000",23100,"1",2878942,"1",
"900000",23100,"2",2878942,"1",
"900000",23100,"3",2878942,"1",
"900000",23100,"4",2878942,"1",
"900000",23100,"5",2878942,"1",
"900030",18659,"1",2878942,"1",
"900030",18659,"2",2878942,"1",
"900030",18659,"3",2878942,"1",
"900030",18659,"4",2878942,"1",
"900030",18659,"5",2878942,"1",
"900170",22000,"1",2878942,"1",
"900170",22000,"2",2878942,"1",
"900170",22000,"3",2878942,"1",
"900170",22000,"4",2878942,"1",
"900170",22000,"5",2878942,"1",
"980000",63759,"1",2878942,"1",
"980000",63759,"2",2878942,"1",
"980000",63759,"3",2878942,"1",
"980000",63759,"4",2878942,"1",
"980000",63759,"5",2878942,"1",
"980070",63759,"1",2878942,"1",
"980070",63759,"2",2878942,"1",
"980070",63759,"3",2878942,"1",
"980070",63759,"4",2878942,"1",
"980070",63759,"5",2878942,"1",
"900000",120344,"1",2878951,"1",
"900000",125261,"2",2878951,"1",
"900000",121396,"3",2878951,"1",
"900000",119460,"4",2878951,"1",
"900000",124909,"5",2878951,"1",
"980000",120344,"1",2878951,"1",
"980000",125261,"2",2878951,"1",
"980000",121396,"3",2878951,"1",
"980000",119460,"4",2878951,"1",
"980000",124909,"5",2878951,"1",
"980070",120344,"1",2878951,"1",
"980070",125261,"2",2878951,"1",
"980070",121396,"3",2878951,"1",
"980070",119460,"4",2878951,"1",
"980070",124909,"5",2878951,"1",
"900000",117886,"1",2878952,"1",
"900000",122871,"2",2878952,"1",
