"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"800940",10967,"1",3011281,"1","T"
"800940",10967,"2",3011281,"1","T"
"800940",10967,"3",3011281,"1","T"
"800940",10967,"4",3011281,"1","T"
"800940",10967,"5",3011281,"1","T"
"900000",148500,"1",3011281,"1",
"900000",148500,"2",3011281,"1",
"900000",148500,"3",3011281,"1",
"900000",148500,"4",3011281,"1",
"900000",148500,"5",3011281,"1",
"900160",40000,"1",3011281,"1",
"900160",40000,"2",3011281,"1",
"900160",40000,"3",3011281,"1",
"900160",40000,"4",3011281,"1",
"900160",40000,"5",3011281,"1",
"900180",150,"1",3011281,"1",
"900180",150,"2",3011281,"1",
"900180",150,"3",3011281,"1",
"900180",150,"4",3011281,"1",
"900180",150,"5",3011281,"1",
"980000",188650,"1",3011281,"1",
"980000",188650,"2",3011281,"1",
"980000",188650,"3",3011281,"1",
"980000",188650,"4",3011281,"1",
"980000",188650,"5",3011281,"1",
"980070",178550,"1",3011281,"1",
"980070",178550,"2",3011281,"1",
"980070",178550,"3",3011281,"1",
"980070",178550,"4",3011281,"1",
"980070",178550,"5",3011281,"1",
"800940",10967,"1",3011282,"1","T"
"800940",10967,"2",3011282,"1","T"
"800940",10967,"3",3011282,"1","T"
"800940",10967,"4",3011282,"1","T"
"800940",10967,"5",3011282,"1","T"
"900000",148500,"1",3011282,"1",
"900000",148500,"2",3011282,"1",
"900000",148500,"3",3011282,"1",
"900000",148500,"4",3011282,"1",
"900000",148500,"5",3011282,"1",
"900160",40000,"1",3011282,"1",
"900160",40000,"2",3011282,"1",
"900160",40000,"3",3011282,"1",
"900160",40000,"4",3011282,"1",
"900160",40000,"5",3011282,"1",
"900180",150,"1",3011282,"1",
"900180",150,"2",3011282,"1",
"900180",150,"3",3011282,"1",
"900180",150,"4",3011282,"1",
"900180",150,"5",3011282,"1",
"980000",188650,"1",3011282,"1",
"980000",188650,"2",3011282,"1",
"980000",188650,"3",3011282,"1",
"980000",188650,"4",3011282,"1",
"980000",188650,"5",3011282,"1",
"980070",178550,"1",3011282,"1",
"980070",178550,"2",3011282,"1",
"980070",178550,"3",3011282,"1",
"980070",178550,"4",3011282,"1",
"980070",178550,"5",3011282,"1",
"900000",24921,"1",3011291,"1",
"900000",12987,"2",3011291,"1",
"900000",37771,"3",3011291,"1",
"900000",30410,"4",3011291,"1",
"900000",10275,"5",3011291,"1",
"900030",16103,"1",3011291,"1",
"900030",15731,"2",3011291,"1",
"900030",14735,"3",3011291,"1",
"900030",8003,"4",3011291,"1",
"900030",13811,"5",3011291,"1",
"980000",41024,"1",3011291,"1",
"980000",28718,"2",3011291,"1",
"980000",52506,"3",3011291,"1",
"980000",38413,"4",3011291,"1",
"980000",24086,"5",3011291,"1",
"980070",41024,"1",3011291,"1",
"980070",28718,"2",3011291,"1",
"980070",52506,"3",3011291,"1",
"980070",38413,"4",3011291,"1",
"980070",24086,"5",3011291,"1",
"900000",10294,"1",3011292,"1",
"900000",28161,"2",3011292,"1",
"900000",1006,"3",3011292,"1",
"900000",14867,"4",3011292,"1",
"900000",26350,"5",3011292,"1",
"900030",11123,"1",3011292,"1",
"900030",15179,"2",3011292,"1",
"900030",3683,"3",3011292,"1",
"900030",3863,"4",3011292,"1",
"900030",26699,"5",3011292,"1",
"980000",21417,"1",3011292,"1",
"980000",43340,"2",3011292,"1",
"980000",4689,"3",3011292,"1",
"980000",18730,"4",3011292,"1",
"980000",53049,"5",3011292,"1",
"980070",21417,"1",3011292,"1",
"980070",43340,"2",3011292,"1",
"980070",4689,"3",3011292,"1",
"980070",18730,"4",3011292,"1",
"980070",53049,"5",3011292,"1",
"900140",5000,"1",3011311,"1",
"900140",5000,"2",3011311,"1",
"900140",5000,"3",3011311,"1",
"900140",5000,"4",3011311,"1",
"900140",5000,"5",3011311,"1",
"980000",5000,"1",3011311,"1",
"980000",5000,"2",3011311,"1",
"980000",5000,"3",3011311,"1",
"980000",5000,"4",3011311,"1",
"980000",5000,"5",3011311,"1",
"980070",5000,"1",3011311,"1",
"980070",5000,"2",3011311,"1",
"980070",5000,"3",3011311,"1",
"980070",5000,"4",3011311,"1",
"980070",5000,"5",3011311,"1",
"900140",5000,"1",3011312,"1",
"900140",5000,"2",3011312,"1",
"900140",5000,"3",3011312,"1",
"900140",5000,"4",3011312,"1",
"900140",5000,"5",3011312,"1",
"980000",5000,"1",3011312,"1",
"980000",5000,"2",3011312,"1",
"980000",5000,"3",3011312,"1",
"980000",5000,"4",3011312,"1",
"980000",5000,"5",3011312,"1",
"980070",5000,"1",3011312,"1",
"980070",5000,"2",3011312,"1",
"980070",5000,"3",3011312,"1",
"980070",5000,"4",3011312,"1",
"980070",5000,"5",3011312,"1",
"900000",108000,"1",3011321,"1",
"900000",108000,"2",3011321,"1",
"900000",108000,"3",3011321,"1",
"900000",108000,"4",3011321,"1",
"900000",108000,"5",3011321,"1",
"900180",4,"1",3011321,"1",
"900180",4,"2",3011321,"1",
"900180",4,"3",3011321,"1",
"900180",4,"4",3011321,"1",
"900180",4,"5",3011321,"1",
"980000",108004,"1",3011321,"1",
"980000",108004,"2",3011321,"1",
"980000",108004,"3",3011321,"1",
"980000",108004,"4",3011321,"1",
"980000",108004,"5",3011321,"1",
"980070",112504,"1",3011321,"1",
"980070",112504,"2",3011321,"1",
"980070",112504,"3",3011321,"1",
"980070",112504,"4",3011321,"1",
"980070",112504,"5",3011321,"1",
"900000",108000,"1",3011322,"1",
"900000",108000,"2",3011322,"1",
"900000",108000,"3",3011322,"1",
"900000",108000,"4",3011322,"1",
"900000",108000,"5",3011322,"1",
"900180",4,"1",3011322,"1",
"900180",4,"2",3011322,"1",
"900180",4,"3",3011322,"1",
"900180",4,"4",3011322,"1",
"900180",4,"5",3011322,"1",
"980000",108004,"1",3011322,"1",
"980000",108004,"2",3011322,"1",
"980000",108004,"3",3011322,"1",
"980000",108004,"4",3011322,"1",
"980000",108004,"5",3011322,"1",
"980070",112504,"1",3011322,"1",
"980070",112504,"2",3011322,"1",
"980070",112504,"3",3011322,"1",
"980070",112504,"4",3011322,"1",
"980070",112504,"5",3011322,"1",
"900030",14699,"1",3011331,"1",
"900030",10367,"2",3011331,"1",
"900030",11759,"3",3011331,"1",
"900030",7499,"4",3011331,"1",
"900030",8387,"5",3011331,"1",
"980000",14699,"1",3011331,"1",
"980000",10367,"2",3011331,"1",
"980000",11759,"3",3011331,"1",
"980000",7499,"4",3011331,"1",
"980000",8387,"5",3011331,"1",
"980070",14699,"1",3011331,"1",
"980070",10367,"2",3011331,"1",
"980070",11759,"3",3011331,"1",
"980070",7499,"4",3011331,"1",
"980070",8387,"5",3011331,"1",
"900030",13499,"1",3011332,"1",
"900030",11183,"2",3011332,"1",
"900030",11927,"3",3011332,"1",
"900030",17699,"4",3011332,"1",
"900030",17291,"5",3011332,"1",
"980000",13499,"1",3011332,"1",
"980000",11183,"2",3011332,"1",
"980000",11927,"3",3011332,"1",
"980000",17699,"4",3011332,"1",
"980000",17291,"5",3011332,"1",
"980070",13499,"1",3011332,"1",
"980070",11183,"2",3011332,"1",
"980070",11927,"3",3011332,"1",
"980070",17699,"4",3011332,"1",
"980070",17291,"5",3011332,"1",
"900000",90000,"1",3011341,"1",
"900000",90000,"2",3011341,"1",
"900000",90000,"3",3011341,"1",
"900000",90000,"4",3011341,"1",
"900000",90000,"5",3011341,"1",
"900190",-7500,"1",3011341,"1",
"900190",-7500,"2",3011341,"1",
"900190",-7500,"3",3011341,"1",
"900190",-7500,"4",3011341,"1",
"900190",-7500,"5",3011341,"1",
"950002",15200,"1",3011341,"1",
"950002",15200,"2",3011341,"1",
"950002",15200,"3",3011341,"1",
"950002",15200,"4",3011341,"1",
"950002",15200,"5",3011341,"1",
"980000",82500,"1",3011341,"1",
"980000",82500,"2",3011341,"1",
"980000",82500,"3",3011341,"1",
"980000",82500,"4",3011341,"1",
"980000",82500,"5",3011341,"1",
"980070",70900,"1",3011341,"1",
"980070",70900,"2",3011341,"1",
"980070",70900,"3",3011341,"1",
"980070",70900,"4",3011341,"1",
"980070",70900,"5",3011341,"1",
"900000",90000,"1",3011342,"1",
"900000",90000,"2",3011342,"1",
"900000",90000,"3",3011342,"1",
"900000",90000,"4",3011342,"1",
"900000",90000,"5",3011342,"1",
"900190",-7500,"1",3011342,"1",
"900190",-7500,"2",3011342,"1",
"900190",-7500,"3",3011342,"1",
"900190",-7500,"4",3011342,"1",
"900190",-7500,"5",3011342,"1",
"950002",15200,"1",3011342,"1",
"950002",15200,"2",3011342,"1",
"950002",15200,"3",3011342,"1",
"950002",15200,"4",3011342,"1",
"950002",15200,"5",3011342,"1",
"980000",82500,"1",3011342,"1",
"980000",82500,"2",3011342,"1",
"980000",82500,"3",3011342,"1",
"980000",82500,"4",3011342,"1",
"980000",82500,"5",3011342,"1",
"980070",70900,"1",3011342,"1",
"980070",70900,"2",3011342,"1",
"980070",70900,"3",3011342,"1",
"980070",70900,"4",3011342,"1",
"980070",70900,"5",3011342,"1",
"900000",67000,"1",3011351,"1",
"900000",67000,"2",3011351,"1",
"900000",67000,"3",3011351,"1",
"900000",67000,"4",3011351,"1",
"900000",67000,"5",3011351,"1",
"900180",79,"1",3011351,"1",
"900180",92,"2",3011351,"1",
"900180",39,"3",3011351,"1",
"900180",87,"4",3011351,"1",
"900180",102,"5",3011351,"1",
"900190",18000,"1",3011351,"1",
"900190",18000,"2",3011351,"1",
"900190",18000,"3",3011351,"1",
"900190",18000,"4",3011351,"1",
"900190",18000,"5",3011351,"1",
"900210",1560,"1",3011351,"1",
"900210",1560,"2",3011351,"1",
"900210",1560,"3",3011351,"1",
"900210",1560,"4",3011351,"1",
"900210",1560,"5",3011351,"1",
"980000",86639,"1",3011351,"1",
"980000",86652,"2",3011351,"1",
"980000",86599,"3",3011351,"1",
"980000",86647,"4",3011351,"1",
"980000",86662,"5",3011351,"1",
"980070",88739,"1",3011351,"1",
"980070",88752,"2",3011351,"1",
"980070",88699,"3",3011351,"1",
"980070",88747,"4",3011351,"1",
"980070",88762,"5",3011351,"1",
"900000",67000,"1",3011352,"1",
"900000",67000,"2",3011352,"1",
"900000",67000,"3",3011352,"1",
"900000",67000,"4",3011352,"1",
"900000",67000,"5",3011352,"1",
"900180",131,"1",3011352,"1",
"900180",71,"2",3011352,"1",
"900180",54,"3",3011352,"1",
"900180",833,"4",3011352,"1",
"900180",211,"5",3011352,"1",
"900190",18000,"1",3011352,"1",
"900190",18000,"2",3011352,"1",
"900190",18000,"3",3011352,"1",
"900190",18000,"4",3011352,"1",
"900190",18000,"5",3011352,"1",
"900210",1560,"1",3011352,"1",
"900210",1560,"2",3011352,"1",
"900210",1560,"3",3011352,"1",
"900210",1560,"4",3011352,"1",
"900210",1560,"5",3011352,"1",
"980000",86691,"1",3011352,"1",
"980000",86631,"2",3011352,"1",
"980000",86614,"3",3011352,"1",
"980000",87393,"4",3011352,"1",
"980000",86771,"5",3011352,"1",
"980070",88791,"1",3011352,"1",
"980070",88731,"2",3011352,"1",
"980070",88714,"3",3011352,"1",
"980070",89493,"4",3011352,"1",
"980070",88871,"5",3011352,"1",
"900000",77635,"1",3011361,"1",
"900000",66348,"2",3011361,"1",
"900000",48326,"3",3011361,"1",
"900000",56489,"4",3011361,"1",
"900000",64992,"5",3011361,"1",
"980000",77635,"1",3011361,"1",
"980000",66348,"2",3011361,"1",
"980000",48326,"3",3011361,"1",
"980000",56489,"4",3011361,"1",
"980000",64992,"5",3011361,"1",
"980070",77635,"1",3011361,"1",
"980070",66348,"2",3011361,"1",
"980070",48326,"3",3011361,"1",
"980070",56489,"4",3011361,"1",
"980070",64992,"5",3011361,"1",
"900000",26578,"1",3011362,"1",
"900000",55517,"2",3011362,"1",
"900000",61043,"3",3011362,"1",
"900000",71471,"4",3011362,"1",
"900000",84449,"5",3011362,"1",
"980000",26578,"1",3011362,"1",
"980000",55517,"2",3011362,"1",
"980000",61043,"3",3011362,"1",
"980000",71471,"4",3011362,"1",
"980000",84449,"5",3011362,"1",
"980070",26578,"1",3011362,"1",
"980070",55517,"2",3011362,"1",
"980070",61043,"3",3011362,"1",
"980070",71471,"4",3011362,"1",
"980070",84449,"5",3011362,"1",
"900000",12211,"1",3011411,"1",
"900000",18237,"2",3011411,"1",
"900000",28161,"3",3011411,"1",
"900000",8322,"4",3011411,"1",
