"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"900030",18671,"4",2933832,"1",
"900030",11723,"5",2933832,"1",
"980000",27617,"1",2933832,"1",
"980000",23042,"2",2933832,"1",
"980000",19369,"3",2933832,"1",
"980000",32810,"4",2933832,"1",
"980000",14719,"5",2933832,"1",
"980070",27617,"1",2933832,"1",
"980070",23042,"2",2933832,"1",
"980070",19369,"3",2933832,"1",
"980070",32810,"4",2933832,"1",
"980070",14719,"5",2933832,"1",
"900000",6403,"1",2933851,"1",
"900000",9300,"2",2933851,"1",
"900000",5019,"3",2933851,"1",
"900000",6342,"4",2933851,"1",
"900000",7094,"5",2933851,"1",
"900030",28859,"1",2933851,"1",
"900030",28859,"2",2933851,"1",
"900030",28859,"3",2933851,"1",
"900030",28859,"4",2933851,"1",
"900030",28859,"5",2933851,"1",
"900180",137,"1",2933851,"1",
"900180",72,"2",2933851,"1",
"900180",30,"3",2933851,"1",
"900180",745,"4",2933851,"1",
"900180",805,"5",2933851,"1",
"980000",35399,"1",2933851,"1",
"980000",38231,"2",2933851,"1",
"980000",33908,"3",2933851,"1",
"980000",35946,"4",2933851,"1",
"980000",36758,"5",2933851,"1",
"980070",35639,"1",2933851,"1",
"980070",38471,"2",2933851,"1",
"980070",34148,"3",2933851,"1",
"980070",36186,"4",2933851,"1",
"980070",36998,"5",2933851,"1",
"900000",9154,"1",2933852,"1",
"900000",8555,"2",2933852,"1",
"900000",9788,"3",2933852,"1",
"900000",7507,"4",2933852,"1",
"900000",5980,"5",2933852,"1",
"900030",28859,"1",2933852,"1",
"900030",28859,"2",2933852,"1",
"900030",28859,"3",2933852,"1",
"900030",28859,"4",2933852,"1",
"900030",28859,"5",2933852,"1",
"900180",97,"1",2933852,"1",
"900180",55,"2",2933852,"1",
"900180",124,"3",2933852,"1",
"900180",41,"4",2933852,"1",
"900180",70,"5",2933852,"1",
"980000",38110,"1",2933852,"1",
"980000",37469,"2",2933852,"1",
"980000",38771,"3",2933852,"1",
"980000",36407,"4",2933852,"1",
"980000",34909,"5",2933852,"1",
"980070",38350,"1",2933852,"1",
"980070",37709,"2",2933852,"1",
"980070",39011,"3",2933852,"1",
"980070",36647,"4",2933852,"1",
"980070",35149,"5",2933852,"1",
"900000",250000,"1",2933861,"1",
"900000",250000,"2",2933861,"1",
"900000",250000,"3",2933861,"1",
"900000",250000,"4",2933861,"1",
"900000",250000,"5",2933861,"1",
"980000",250000,"1",2933861,"1",
"980000",250000,"2",2933861,"1",
"980000",250000,"3",2933861,"1",
"980000",250000,"4",2933861,"1",
"980000",250000,"5",2933861,"1",
"980070",250000,"1",2933861,"1",
"980070",250000,"2",2933861,"1",
"980070",250000,"3",2933861,"1",
"980070",250000,"4",2933861,"1",
"980070",250000,"5",2933861,"1",
"900000",250000,"1",2933862,"1",
"900000",250000,"2",2933862,"1",
"900000",250000,"3",2933862,"1",
"900000",250000,"4",2933862,"1",
"900000",250000,"5",2933862,"1",
"980000",250000,"1",2933862,"1",
"980000",250000,"2",2933862,"1",
"980000",250000,"3",2933862,"1",
"980000",250000,"4",2933862,"1",
"980000",250000,"5",2933862,"1",
"980070",250000,"1",2933862,"1",
"980070",250000,"2",2933862,"1",
"980070",250000,"3",2933862,"1",
"980070",250000,"4",2933862,"1",
"980070",250000,"5",2933862,"1",
"900000",30000,"1",2933882,"1",
"900000",30000,"2",2933882,"1",
"900000",30000,"3",2933882,"1",
"900000",30000,"4",2933882,"1",
"900000",30000,"5",2933882,"1",
"900160",585,"1",2933882,"1",
"900160",654,"2",2933882,"1",
"900160",1457,"3",2933882,"1",
"900160",1440,"4",2933882,"1",
"900160",383,"5",2933882,"1",
"980000",30585,"1",2933882,"1",
"980000",30654,"2",2933882,"1",
"980000",31457,"3",2933882,"1",
"980000",31440,"4",2933882,"1",
"980000",30383,"5",2933882,"1",
"980070",40085,"1",2933882,"1",
"980070",40154,"2",2933882,"1",
"980070",40957,"3",2933882,"1",
"980070",40940,"4",2933882,"1",
"980070",39883,"5",2933882,"1",
"900000",176300,"1",2933901,"1",
"900000",176300,"2",2933901,"1",
"900000",176300,"3",2933901,"1",
"900000",176300,"4",2933901,"1",
"900000",176300,"5",2933901,"1",
"900190",15000,"1",2933901,"1",
"900190",15000,"2",2933901,"1",
"900190",15000,"3",2933901,"1",
"900190",15000,"4",2933901,"1",
"900190",15000,"5",2933901,"1",
"980000",191300,"1",2933901,"1",
"980000",191300,"2",2933901,"1",
"980000",191300,"3",2933901,"1",
"980000",191300,"4",2933901,"1",
"980000",191300,"5",2933901,"1",
"980070",190575,"1",2933901,"1",
